letterInfo_ID,post_ID,letter_date,letter_dbdate,manuscript_location,letter_fromAddress,letter_footnote
2487,2539,[1875?],1875-00-00,"MS location unknown, fragment printed in Gwendolen Stephenson, [[otherbook:869]<i>Edward Stuart Talbot 1844 - 1934</i>], 1936, 37.",,"[[footnote:1]]This refers to the plan to found a women\'s college in Oxford which became [[other:6]Lady Margaret Hall].

[[footnote:2]]Matthew 5: 13.  ‘Ye are the salt of the earth: but if the salt have lost his savour, wherewith shall it be salted?’<br/>"
3478,3530,[after 1875],1875-00-00,"MS fragment Princeton University, Parrish Collection",,
3664,19839,Jany 20th 1875,1875-01-20,MS Charlotte Mitchell. ,"Elderfield, Otterbourne, Winchester.",[[footnote:1]]This letter is evidently addressed to an unidentified member of the [[other:104]Gosling Society].
2469,2521,Jany 27th 1875,1875-01-27,"MS John Rylands Library, Manchester, FA1/7/837a-837b","Elderfield, Otterbourne, Winchester.","[[footnote:1]]This refers to CMY\'s work on [[cmybook:99]<i>History of France</i>], a volume in the \'Historical Course for Schools\' edited by Freeman.

[[footnote:2]]Freeman had observed in his <i>The Growth of the English Constitution</i>, 71, that the \'career of Simon of Montfort is the most glorious in our later history\'.

[[footnote:3]]Freeman was far from agreeing that the book was ready for the press: see Susan Walton\'s [[otherbook:586]\'Charlotte M. Yonge and the \\""historic harem\\"" of Edward Augustus Freeman\'].

[[footnote:4]]John Richard Green, [[otherbook:858]<i>A Short History of the English People</i>] (London: Macmillan 1874) was probably the longer history referred to.

[[footnote:5]]Huxley had indeed mentioned CMY\'s <i>Scripture Readings</i> as possible textbooks for children, \'strangely\', since he was himself an agnostic. He did not quite praise them, but instanced them as illustrations of the fact that even pious people thought young children should be given extracts from the Bible, rather than the whole thing, to read;  see  \'The London School Board\' <i>The Times</i> (30 March 1871), 10.

[[footnote:6]]Florence Freeman took part in the Spider Society essay competitions in <i>MP</i>;  one of the questions for February 1875 was \'Write the Life of Sidonius Apollinaris\'.<br/>"
3669,19875,Febry 1st 1875,1875-02-01,MS Charlotte Mitchell. ,"Elderfield, Otterbourne, Winchester.",[[footnote:1]]Keary\'s <i>[[otherbook:867]A York and a Lancaster Rose]</i> appeared in <i>MP</i>  (January 1875-May 1876).
2470,2522,March 1st 1875 ,1875-03-01,MS British Library Add MSS 54921: 7-8 ,Elderfield  Otterbourne,<br/>
2471,2523,March 13th 1875,1875-03-13,"MS Princeton University, Parrish Collection C0171: Box 29","Elderfield,  Otterbourne, Winchester.",[[footnote:1]]These verses do not seem to have been published in <i>MP</i>.
2472,2524,March 31st 1875,1875-03-31,MS The Hypatia Trust,"Elderfield, Otterbourne, Winchester.",<br/>
3453,3505,April 1st [after 1875],1875-04-01,"MS Bodleian Library, Oxford: MSS. Autogr. c.25 f270","Elderfield, Otterbourne, Winchester.","[[footnote:1]]Anne Mary Buston (1824/5-1895) was the wife of the Rev. Roger Buston (1807/8-mid 1880s), Vicar of Twyford, and mother of a numerous family.

[[footnote:2]]The Girls\' Friendly Society was founded in 1875.

<br/>"
2473,2525,"April 6, 1875",1875-04-06,"MS location unknown.  Printed in Coleridge, [[otherbook:40]<i>Life</i>] 261-2","Elderfield, Otterbourne, Winchester","[[footnote:1]]At the time of the 1871 census Amélie Leroy (1851-1934), later a novelist as ‘Esmé Stuart’, was living with Mary Anne Dyson in Crookham and working as a teacher in her school.

[[footnote:2]]Apart from CMY\'s niece Helen Yonge, the named confirmation candidates were perhaps Amy Jones-Bateman, whose father was a great friend of Julian Yonge\'s, and Gertrude Webber, stepdaughter of the Rev. Walter Elgie, the curate.

[[footnote:3]]He was writing the life of Samuel Wilberforce.

[[footnote:4]]The new vicar of Crookham cum Ewshott was the Rev. Gordon Wickham, whose father had been second master of Winchester College. <br/>"
