cmy_bookID,title,date,genre_old,genre,category,format,publisher,serialization,illustrator,notes,display_title,sort_title,","
140,"<i>Practical Work in Sunday Schools.</i> By Miss Yonge, author of “The Heir of Redclyffe”.",1881,"Non-fiction, theology, advice to church workers","Non-fiction, theology, advice to church workers",Non-fiction,Booklet,"National Society’s Depository, Broad Sanctuary, London.",In a series of <i>Religious Manuals for Sunday and Day School Teaching</i>,NA,NA,"Practical Work in Sunday Schools.By Miss Yonge, author of “The Heir of Redclyffe”.",Practical Work in Sunday Schools.,
141,<i>Questions on the Psalms.</i>,1881,Non-Fiction: theology,Non-Fiction: theology,Non-fiction,Book,"Walter Smith (late Mozley), 34 King Street, Covent Garden, London.",NA,NA,NA,Questions on the Psalms.,Questions on the Psalms.,
142,<i>Questions on the Prayer Book</i>.,1881,Non-Fiction: theology,Non-Fiction: theology,Non-fiction,Book,"Walter Smith (late Mozley), 34 King Street, Covent Garden, London.",NA,NA,NA,Questions on the Prayer Book.,Questions on the Prayer Book,
143,"<i>Aunt Charlotte’s Evenings at Home with the Poets : A Collection of Poems for the Young, with Conversations, Arranged in Twenty-Five Evenings.</i> By Charlotte M. Yonge, author of “The Heir of Redcl",1881,Non-fiction: critical anthology,Non-fiction: critical anthology,Editorial work and prefaces,Edited book,"Marcus Ward & Co., Chandos St, W.C. London; and Royal Ulster Works, Belfast.",NA,Illustrated by Mrs J. W. Whymper.,NA,"Aunt Charlotte’s Evenings at Home with the Poets : A Collection of Poems for the Young, with Conversations, Arranged in Twenty-Five Evenings.By Charlotte M. Yonge, author of “The Heir of Redcl","Aunt Charlotte’s Evenings at Home with the Poets : A Collection of Poems for the Young, with Conversations, Arranged in Twenty-Five Evenings.",
144,<i>How to Teach the New Testament</i>. By Charlotte Mary Yonge (author of “The Heir of Redclyffe”) A Teacher of Many Years’ Standing.,1881,"Non-fiction, theology, advice to church workers","Non-fiction, theology, advice to church workers",Non-fiction,Booklet,"London: National Society’s Depository, Broad Sanctuary, Westminster.",NA,NA,In a series of <i>Religious Manuals for Sunday and Day School Teachers.</i>,How to Teach the New Testament. By Charlotte Mary Yonge (author of “The Heir of Redclyffe”) A Teacher of Many Years’ Standing.,How to Teach the New Testament,
145,<i>Wolf.</i>,1881,Fiction (modern),Fiction (modern),Fiction,Booklet,"London: Walter Smith (late Mozley), 34 King Street, Covent Garden.",NA,NA,"Also in collection, <i>Lads and Lasses of Langley</i> (1881)",Wolf.,Wolf.,
146,<i>Frank’s Debt</i>,1881,Fiction (modern),Fiction (modern),Fiction,Booklet,"London: Walter Smith (late Mozley), 34 King Street, Covent Garden.",NA,NA,"Also in collection, <i>Lads and Lasses of Langley</i> (1881)",Frank’s Debt,Frank’s Debt,
147,<i>Cheap Jack.</i>,1881,Fiction (modern),Fiction (modern),Fiction,Booklet,"London: Walter Smith (late Mozley), 34 King Street, Covent Garden.",NA,NA,"Also in collection, <i>Lads and Lasses of Langley</i> (1881)",Cheap Jack.,Cheap Jack.,
148,"<i>Beneath the Cross: Readings for Children in Our Lord’s Seven Sayings.</i> By Florence Wilford. Edited by Charlotte M. Yonge. With a preface by the Rev. R.F. Wilson, M.A., Vicar of Rownhams.",1869,Non-fiction: theology (by another),Non-fiction: theology (by another),Editorial work and prefaces,edited book,"London: J. Masters & Co., 78, New Bond Street",NA,NA,NA,"Beneath the Cross: Readings for Children in Our Lord’s Seven Sayings.By Florence Wilford. Edited by Charlotte M. Yonge. With a preface by the Rev. R.F. Wilson, M.A., Vicar of Rownhams.",Beneath the Cross: Readings for Children in Our Lord’s Seven Sayings.,
149,<i>Militant Here on Earth </i>By Charlotte M. Yonge.,1882-3,Non-fiction: theology,Non-fiction: theology,Non-fiction,Articles in journal,Not separately published,"<i>The Watchword</i> (printed by Warren, Winchester, for the SWW) 1882-3",NA,"The <i>Watchword</i> was the journal of the Society of Watchers and Workers: An Association of Mutual Help and Service for Invalids, founded by Edith Sophia Jacob in 1879.  These articles may have been reprinted from elsewhere (perhaps from the <i>Monthly Paper of Sunday Teaching</i>?).",Militant Here on Earth By Charlotte M. Yonge.,Militant Here on Earth ,
150,"<i>English History Reading Books, adapted to the requirements of the New Code</i>. Parts 1-5. Part 6: The Young Student’s History Reading Book.",1881-1883,Non-fiction: history,Non-fiction: history,Non-fiction,Book,"London: National Society’s Depository, Broad Sanctuary, Westminster.",NA,NA,NA,"English History Reading Books, adapted to the requirements of the New Code. Parts 1-5. Part 6: The Young Student’s History Reading Book.","English History Reading Books, adapted to the requirements of the New Code",
