cmy_bookID,title,date,genre_old,genre,category,format,publisher,serialization,illustrator,notes,display_title,sort_title,","
190,<i>Teachings on the Catechism for the Little Ones. </i>By Charlotte Mary Yonge.,1886,Non-fiction: theology,Non-fiction: theology,Non-fiction,Book,"London: Walter Smith, 34 King Street, Covent Garden",Serialized in the <i>Monthly Paper of Sunday Teaching,NA,"</i>The preface is dated 30 December 1885, and explains that these lessons had appeared originally in the <i>Monthly Paper of Sunday Teaching.</i>",Teachings on the Catechism for the Little Ones. By Charlotte Mary Yonge.,Teachings on the Catechism for the Little Ones. ,
191,Story in <i>Just One More Tale:  A Second Collection of Stories for Children from Four to Twelve Years of Age.  Being a Companion volume to “Please Tell Me a Tale”</i>,1886,Fiction,Fiction ,Fiction,Story in collection,London:  Skeffington & Son,NA,NA,NA,Story in Just One More Tale:  A Second Collection of Stories for Children from Four to Twelve Years of Age.  Being a Companion volume to “Please Tell Me a Tale”,Story in Just One More Tale:  A Second Collection of Stories for Children from Four to Twelve Years of Age.  Being a Companion volume to “Please Tell Me a Tale”,
192,‘Nurse’s Pocket’ in <i>Jack Frost’s Little Prisoners. : A Collection of Stories for Children from Four to Twelve Years of Age</i>. By Stella Austin. S. Baring-Gould. Caroline Birley. Lord Brabourne. (,1886,Fiction,Fiction,Fiction,Story in collection.,"London: William Skeffington, 163 Piccadilly.",NA,NA,NA,‘Nurse’s Pocket’ in Jack Frost’s Little Prisoners. : A Collection of Stories for Children from Four to Twelve Years of Age. By Stella Austin. S. Baring-Gould. Caroline Birley. Lord Brabourne. (,‘Nurse’s Pocket’ in Jack Frost’s Little Prisoners. : A Collection of Stories for Children from Four to Twelve Years of Age. By Stella Austin. S. Baring-Gould. Caroline Birley. Lord Brabourne. (,
193,"<i>Astray: A Tale of a Country Town</i>. By Charlotte M. Yonge, Mary Bramston, Christabel Coleridge, Esmé Stuart.",1887,Fiction (modern),Fiction (modern),Fiction ,Book 8vo 407pp,"London: Hatchards, Piccadilly. Serialized in<i> MP</i>, July 1885 to February 1886",NA,The single frontispiece is signed G B 86.,NA,"Astray: A Tale of a Country Town. By Charlotte M. Yonge, Mary Bramston, Christabel Coleridge, Esmé Stuart.",Astray: A Tale of a Country Town,
194,"<i>Under the Storm, or, Steadfast’s Charge.</i>",1887,Fiction (historical),Fiction (historical),Fiction,Book,"National Society’s Depository, Broad Sanctuary, London.",NA,NA,NA,"Under the Storm, or, Steadfast’s Charge.","Under the Storm, or, Steadfast’s Charge.",
195,"<i>Chips from the Royal Image,  Being fragments of the Eikon Basilike of Charles I</i>.  Arranged by A. E. M. Anderson Morshead.  Edited by Charlotte M. Yonge.",1887,Non-fiction: edition (by another),Non-fiction: edition (by another),Editorial work and prefaces,Edited book,London: J. Masters & Co.,NA,NA,NA,"Chips from the Royal Image,  Being fragments of the Eikon Basilike of Charles I.  Arranged by A. E. M. Anderson Morshead.  Edited by Charlotte M. Yonge.","Chips from the Royal Image,  Being fragments of the Eikon Basilike of Charles I",
196,"<i>What Books to Lend and What to Give.</i>  By Charlotte M. Yonge, author of ‘The Heir of Redclyffe’ ‘Cameos from English History’ etc.,",1887,Non-fiction: advice to charity workers,Non-fiction: advice to charity workers,Non-fiction,"Pamphlet, 126pp","London: National Society’s Depository, Sanctuary, Westminster.",NA,NA,NA,"What Books to Lend and What to Give.By Charlotte M. Yonge, author of ‘The Heir of Redclyffe’ ‘Cameos from English History’ etc.,",What Books to Lend and What to Give.,
197,<i>Cameos from English History: VI. Forty Years of Stewart Rule.</i> By the author of “The Heir of Redclyffe.”,1887,Non-fiction: history,Non-fiction: history,Non-fiction,Book,London and New York: Macmillan and Company.,"Individual cameos appeared in<i> MP</i>, irregularly from 1856 to 1889.",NA,NA,Cameos from English History: VI. Forty Years of Stewart Rule.By the author of “The Heir of Redclyffe.”,Cameos from English History: VI. Forty Years of Stewart Rule.,
198,"<i>Our New Mistress, or, Changes at Brookfield Earl.</i> By Charlotte M. Yonge.",1888,Fiction (modern),Fiction (modern in collaboration),Fiction,Book,"National Society’s Depository, Broad Sanctuary, London.",NA,Illustrated by C.J. Staniland.,NA,"Our New Mistress, or, Changes at Brookfield Earl.By Charlotte M. Yonge.","Our New Mistress, or, Changes at Brookfield Earl.",
199,<i>Hannah More</i>. By Charlotte M. Yonge. Eminent Women<i> </i>Series.,1888,Non-fiction: biography,Non-fiction: biography,Non-fiction,Book,"London : W. H. Allen & Co., 13 Waterloo Place, S.W.",NA,NA,The <i>Eminent Women </i>series was edited by John H. Ingram.,Hannah More. By Charlotte M. Yonge. Eminent Women Series.,Hannah More,
200,<i>Nurse’s Memories.</i>,1888,Fiction,Fiction,Fiction,Book,London: Eyre and Spottiswoode,NA,Illustrated by Frederick Marriott and Florence Maplestone.,NA,Nurse’s Memories.,Nurse’s Memories.,
201,<i>Beechcroft at Rockstone.</i> 2 vols.,1888,Fiction (modern),Fiction (modern),Fiction,Book,London and New York: Macmillan and Company.,Serialized in<i> MP</i> January 1887- Dec 1888,NA,This is a sequel to <i>Scenes and Characters</i> and <i>The Two Sides of the Shield.</i>,Beechcroft at Rockstone.2 vols.,Beechcroft at Rockstone.,
202,<i>Preparation of Prayer-Book Lessons.</i>,1888,Non-fiction: theology,Non-fiction: theology,Non-fiction,Book,London: Smith and Innes,<i>MP</i> (January 1884-October 1888),NA,NA,Preparation of Prayer-Book Lessons.,Preparation of Prayer-Book Lessons.,
203,"<i>Cunning Woman’s Grandson: A Tale of Cheddar a Hundred Years Ago, The</i>",1889,Fiction (historical),Fiction (historical),Fiction,Book,"National Society’s Depository, Broad Sanctuary, London.",NA,NA,"Leeds University Library has <i>A Tale of Cheddar Caves One Hundred Years Ago</i>, with illustrations by W. S. Stacey, published in Wells: Dowman Woodhams n.d, which is presumably a reprint of this book.",The Cunning Woman’s Grandson: A Tale of Cheddar a Hundred Years Ago,Cunning Woman’s Grandson: A Tale of Cheddar a Hundred Years Ago,
204,"<i>Parent’s Power, The</i> Address to the Conference of the Mother’s Union",1889,Non-fiction: advice to charity workers,Non-fiction: advice to charity workers,Non-fiction,Pamphlet,Winchester: Warren,NA,NA,NA,The Parent’s PowerAddress to the Conference of the Mother’s Union,Parent’s Power,
205,"<i>Reputed Changeling, or, Three Seventh Years Two Centuries Ago, A</i> 2 vols.",1889,Fiction (historical),Fiction (historical),Fiction,Book,London and New York: Macmillan and Company.,NA,NA,NA,"A Reputed Changeling, or, Three Seventh Years Two Centuries Ago2 vols.","Reputed Changeling, or, Three Seventh Years Two Centuries Ago",
206,"‘Neighbour’s Fare’ in <i>Stories Jolly, Stories New, Stories Strange & Stories True: A Series of New and Original Tales for Boys and Girls from Six to Fourteen Years Old</i>",1889,Fiction,Fiction,Fiction,Story in collection,London: Skeffington & Son,NA,NA,NA,"‘Neighbour’s Fare’ in Stories Jolly, Stories New, Stories Strange & Stories True: A Series of New and Original Tales for Boys and Girls from Six to Fourteen Years Old","‘Neighbour’s Fare’ in Stories Jolly, Stories New, Stories Strange & Stories True: A Series of New and Original Tales for Boys and Girls from Six to Fourteen Years Old",
207,"<i>Slaves of Sabinus, Jew & Gentile, The</i>",October 1890,Fiction (historical),Fiction (historical),Fiction,Book,"National Society’s Depository, Broad Sanctuary, London.",NA,NA,NA,"The Slaves of Sabinus, Jew & Gentile","Slaves of Sabinus, Jew & Gentile",
208,<i>Life of H.R.H. the Prince Consort.</i>,1890,Non-fiction: biography,Non-fiction: biography,Non-fiction,Book,London: W. H. Allen,NA,NA,NA,Life of H.R.H. the Prince Consort.,Life of H.R.H. the Prince Consort.,
209,"<i>More Bywords.</i> By Charlotte M. Yonge, author of ‘The Heir of Redclyffe’, ‘Unknown to History,’ etc..",1890,Fiction,Fiction,Fiction,Book,London and New York: Macmillan and Co.,various,NA,"Like <i>Bye-Words</i> (<i>sic</i> note different spelling), a collection of stories earlier printed elsewhere: ‘The price of blood’,  ‘The cat of Cat Copse’, ‘De facto and de jure’,  ‘Sigbert\'s Guerdon’, ‘The beggar\'s legacy’, ‘A review of nieces’, ‘Come to her kingdom’, ‘Mrs. Batseyes’, and ‘Chops’.","More Bywords.By Charlotte M. Yonge, author of ‘The Heir of Redclyffe’, ‘Unknown to History,’ etc..",More Bywords.,
210,"<i>Quentin Durward</i> by Sir Walter Scott Edited, with a historical introduction, by CMY",1890,Non-fiction: criticism,Non-fiction: criticism,Editorial work and prefaces,Preface to book,Boston: Ginn and Company,NA,NA,"Ginn’s Children’s Classics series, in which  <i>The Talisman</i> also appeared with a preface by CMY, although she is not credited as its editor.","Quentin Durwardby Sir Walter Scott Edited, with a historical introduction, by CMY",Quentin Durward,
211,Warne’s Victoria Tales and Stories series. Edited by the author of “The Heir of Redclyffe.,n.d. [1868-1871],Edited fiction (by others),Edited fiction (by others),Editorial work and prefaces,Edited booklet series,London: Frederick Warne and Co.,NA,Illustrated by the Dalziel Brothers.,"The volumes in this series are not by CMY, but are sometimes catalogued as by her.  Titles include <i>Ella’s Dream</i> [1870], <i>Mary, Mary, Quite Contrary</i> [1870], <i>Cloudland</i>, <i>Esther Stanhope, or, The Crowning Delight, Lost in the Lebanon, The Knight of the Feathery Sword,  Sarah Watkins, or, Crumbs for the Birds.</i> By E. E. G. B., <i>Hasty Harry, A Bit of Fun, The Old School-room Piano, The Virtue of Patience, Alice\'s Watch, Wax Matches and Wooden Ones, Carrie\'s Two Victories, Harry\'s Snow-shoes, Lost on the Line, Summer Arithmetic </i>and <i>The Flax Gatherers</i>.   The <i>MP</i> (April 1871), 418, recommended <i>Mrs Filby\'s Maria</i> and <i>Silvertongue</i> from the same series. The former is referred to in a letter by CMY and was probably by her correspondent Anne Mercier. Although neither of the latter has a separate entry in either COPAC or WorldCat, Cambridge University Library holds a group catalogued as \'Victoria Tales and Stories, Packet F\', 12 volumes in paper wrapper, which consist of: <i>A Bit of Fun, Cloudland, Found in the Fog, Hasty Harry, Lost on the Line, The Flax Gatherers, Wax Matches and Wooden Ones, The Old Bottle, Mrs. Filley\'s Maria, The Hunt Ribbon, The story of Dog Acis, Silver Tongue</i> and <i>Responsibility</i>  It also holds a similar \'Packet N\', consisting of <i>Alice\'s Watch, Carrie\'s Two Victories, Ella\'s Dream, The Old Schoolroom Piano, The Knight of the Feathery Sword, A Girl\'s Adventure, To-Morrow, The Virtue of Patience, Lost in the Lebanon, Henry\'s Snow-Shoes, Mary, Mary, quite Contrary and Summer Arithmetic</i>

See also Warne’s Star of Hope series, for another group of tales sometimes erroneously attributed to CMY.",Warne’s Victoria Tales and Stories series. Edited by the author of “The Heir of Redclyffe.,Warne’s Victoria Tales and Stories series. Edited by the author of “The Heir of Redclyffe.,
212,Warne’s Star of Hope series. Edited by the author of “The Heir of Redclyffe “.,n.d.,Edited fiction (by others),Edited fiction (by others),Editorial work and prefaces,Edited booklet series,"London: Frederick Warne and Co., Bedford Street, Covent Garden.",NA,NA,"This series includes <i>Mary and Norah, or, Queen Katherine’s School</i>;  <i>Willie’s trouble, and How He Came Out of it</i>; <i>New Friends, or, St Cadog’s Well; King Tolv’s Bride</i>; <i>Thomas Green’s Adventure, or, A Young Quixote</i>; and<i> Alice, or, The Little Sentinel</i>. See also Warne’s Victoria Tales and Stories, for another group of texts sometimes erroneously attributed to CMY. <i> The Virtue of Patience</i>, <i>Esther Stanhope </i>and<i> Lost on the Line</i> appear in both series.",Warne’s Star of Hope series. Edited by the author of “The Heir of Redclyffe “.,Warne’s Star of Hope series. Edited by the author of “The Heir of Redclyffe “.,
213,<i>Cameos from English History: VII. The Rebellion and Restoration.</i> By the author of “The Heir of Redclyffe.”,1890,Non-fiction: history,Non-fiction: history,Non-fiction,Book,London and New York: Macmillan and Company.,"Individual cameos appeared in<i> MP</i>, irregularly from 1856 to 1889.",NA,NA,Cameos from English History: VII. The Rebellion and Restoration.By the author of “The Heir of Redclyffe.”,Cameos from English History: VII. The Rebellion and Restoration.,
214,"<i>Constable’s Tower, or, The Times of Magna Charta, The</i> By Charlotte M. Yonge, author of ‘The Heir of Redclyffe’ ‘Under the Storm’ etc.",October 1891,Fiction (historical),Fiction (historical),Fiction,Book 8vo 214pp,"London: National Society’s Depository, Broad Sanctuary, Westminster New York: Thomas Whittaker, 2 & 3 Bible House.",NA,Four illustrations signed C. O. Murray.,NA,"The Constable’s Tower, or, The Times of Magna ChartaBy Charlotte M. Yonge, author of ‘The Heir of Redclyffe’ ‘Under the Storm’ etc.","Constable’s Tower, or, The Times of Magna Charta",
215,<i>Seven Heroines of Christendom.</i>,September 1891,Non-fiction: biography,Non-fiction: biography,Non-fiction,Book,London: Sonnenschein,NA,NA,NA,Seven Heroines of Christendom.,Seven Heroines of Christendom.,
216,<i>Two Penniless Princesses.</i>,1891,Fiction (historical),Fiction (historical),Fiction,Book,London and New York: Macmillan and Co.,Serialized in<i> MP</i> Jan-Dec 1890,NA,NA,Two Penniless Princesses.,Two Penniless Princesses.,
217,"<i>Simple Stories Relating to English History</i>, Part 1 of the Westminster Historical Reading Books, Adapted to the Requirements of the New Code of 1891.",1891,Non-fiction: history,Non-fiction: history,Non-fiction,Book,"National Society’s Depository, Broad Sanctuary, London.",NA,NA,NA,"Simple Stories Relating to English History, Part 1 of the Westminster Historical Reading Books, Adapted to the Requirements of the New Code of 1891.",Simple Stories Relating to English History,
218,<i>Old Times at Otterbourne.</i>,[September] 1891,Non-fiction: history,Non-fiction: history,Non-fiction,Book,"Winchester: Warren and Son, Printer and Publisher, High Street, London: Simpkin and Co. Limited, Stationers’ Hall Court",NA,NA,NA,Old Times at Otterbourne.,Old Times at Otterbourne.,
219,"<i>Twelve Stories from Early English History</i>, Part 2 of the Westminster Historical Reading Books, Adapted to the Requirements of the New Code of 1891.",1891,Non-fiction: history,Non-fiction: history,Non-fiction,Book,"National Society’s Depository, Broad Sanctuary, London.",NA,NA,NA,"Twelve Stories from Early English History, Part 2 of the Westminster Historical Reading Books, Adapted to the Requirements of the New Code of 1891.",Twelve Stories from Early English History,
220,"<i>Twenty Stories and Biographies from 1066 to 1485</i>, Part 3 of the Westminster Historical Reading Books, Adapted to the Requirements of the New Code of 1891.",1891,Non-fiction: history,Non-fiction: history,Non-fiction,Book,"National Society’s Depository, Broad Sanctuary, London.",NA,NA,NA,"Twenty Stories and Biographies from 1066 to 1485, Part 3 of the Westminster Historical Reading Books, Adapted to the Requirements of the New Code of 1891.",Twenty Stories and Biographies from 1066 to 1485,
221,"<i>Cross Roads, or, A Choice in Life: A Story for Young Women and Older Girls, The</i>",October 1892,Fiction,Fiction,Fiction,Book,"National Society’s Depository, Broad Sanctuary, London.",NA,NA,NA,"The Cross Roads, or, A Choice in Life: A Story for Young Women and Older Girls","Cross Roads, or, A Choice in Life: A Story for Young Women and Older Girls",
222,"<i>Tudor Period, with Biographies of Leading Persons, The</i>Part 4 of the Westminster Historical Reading Books, Adapted to the Requirements of the New Code of 1891.",1892,Non-fiction: history,Non-fiction: history,Non-fiction,Book,"National Society’s Depository, Broad Sanctuary, London.",NA,NA,NA,"The Tudor Period, with Biographies of Leading PersonsPart 4 of the Westminster Historical Reading Books, Adapted to the Requirements of the New Code of 1891.","Tudor Period, with Biographies of Leading Persons",
223,"<i>Stewart Period, with Biographies of Leading Persons, The</i>, Part 5 of the Westminster Historical Reading Books, Adapted to the Requirements of the New Code of 1891.",1892,Non-fiction: history,Non-fiction: history,Non-fiction,Book,"National Society’s Depository, Broad Sanctuary, London.",NA,NA,NA,"The Stewart Period, with Biographies of Leading Persons, Part 5 of the Westminster Historical Reading Books, Adapted to the Requirements of the New Code of 1891.","Stewart Period, with Biographies of Leading Persons",
224,"<i>Hanoverian Period, with Biographies of Leading Persons, The </i>Part 6 of the Westminster Historical Reading Books, Adapted to the Requirements of the New Code of 1891.",1892,Non-fiction: history,Non-fiction: history,Non-fiction,Book,"National Society’s Depository, Broad Sanctuary, London.",NA,NA,NA,"Hanoverian Period, with Biographies of Leading Persons, The Part 6 of the Westminster Historical Reading Books, Adapted to the Requirements of the New Code of 1891.","Hanoverian Period, with Biographies of Leading Persons, The ",
225,"<i>Old Woman’s Outlook in a Hampshire Village, An</i>  By Charlotte M. Yonge.",1892,"Non-fiction, reminiscences, natural history","Non-fiction, reminiscences, natural history",Non-fiction,Book,London and New York: Macmillan and Company.,Serialized in<i> MP</i> Jan-Dec 1892,NA,NA,An Old Woman’s Outlook in a Hampshire VillageBy Charlotte M. Yonge.,Old Woman’s Outlook in a Hampshire Village,
226,<i>That Stick.</i>,1892,Fiction (modern),Fiction (modern),Fiction,Book,London and New York: Macmillan and Company.,"Serialized in<i> MP</i>, January to December 1891",NA,NA,That Stick.,That Stick.,
227,"<i>Treasures in the Marshes, The</i> By Charlotte M. Yonge, author of ‘The Cross Roads’ ‘The Constable’s Tower’ etc.",n.d. [September 1893],Fiction,Fiction,Fiction,Book,"London: National Society’s Depository, Broad Sanctuary, Westminster, New York: Thomas Whittaker, 2 & 3 Bible House.",NA,Illustrated by W. S. Stacey,NA,"The Treasures in the MarshesBy Charlotte M. Yonge, author of ‘The Cross Roads’ ‘The Constable’s Tower’ etc.",Treasures in the Marshes,
228,"<i>Grisly Grisell, or, The Laidly Lady of Whitburn: A Tale of the Wars of the Roses.</i> 2 vols.",1893,Fiction (historical),Fiction (historical),Fiction,Book,London and New York: Macmillan and Company.,NA,NA,NA,"Grisly Grisell, or, The Laidly Lady of Whitburn: A Tale of the Wars of the Roses.2 vols.","Grisly Grisell, or, The Laidly Lady of Whitburn: A Tale of the Wars of the Roses.",
229,<i>Strolling Players: A Harmony of Contrasts. </i>By Charlotte M. Yonge and Christabel R. Coleridge.,1893,Fiction (modern),"Fiction (modern, in collaboration)",Fiction,Book,London and New York: Macmillan and Co.,Serialized in<i> MP</i> Jan 1892-Mar 1893,NA,It includes some of the Merrifield family from <i>The Stokesley Secret</i> and <i>The Two Sides of the Shield.</i>,Strolling Players: A Harmony of Contrasts. By Charlotte M. Yonge and Christabel R. Coleridge.,Strolling Players: A Harmony of Contrasts. ,
230,“Authorship” in <i>Ladies at Work: Papers on Paid Employments for Ladies by Experts in the Several Branches</i> ed. Lady Jeune,1893,Non-fiction: advice to aspirant writers,Non-fiction: advice to aspirant writers,Non-fiction,Book,London: A.D. Innes & Co.,Published in<i> MP</i> September 1892.,NA,NA,“Authorship” in Ladies at Work: Papers on Paid Employments for Ladies by Experts in the Several Branches ed. Lady Jeune,“Authorship” in Ladies at Work: Papers on Paid Employments for Ladies by Experts in the Several Branches ed. Lady Jeune,
231,"<i>Girl’s Little Book, The </i>",1893,Non-fiction: advice book,Non-fiction: advice book,Non-fiction,Booklet,"London: William Skeffington, 163 Piccadilly.",NA,NA,"This is an advice book and has been reprinted in the microfilm series Women and Victorian Values, 1837-1910 Advice Books, Manuals and Journals for Women.","Girl’s Little Book, The ","Girl’s Little Book, The ",
232,<i>Chimes for the Mothers: A Reading for Each Week in the Year.</i> By Charlotte M. Yonge,November 1893,Non-fiction: selection,Non-fiction: selection,Editorial work and prefaces,Edited book,"London: Wells Gardner, Darton.",NA,NA,NA,Chimes for the Mothers: A Reading for Each Week in the Year.By Charlotte M. Yonge,Chimes for the Mothers: A Reading for Each Week in the Year.,
233,"<i>Cook and the Captive, or, Attalus the Hostage, The</i> By Charlotte M.Yonge, author of ‘The Constable’s Tower’ ‘The Slaves of Sabinus’ etc.",September 1894,Fiction (historical),Fiction (historical),Fiction,Book 8vo 228pp,"London: National Society’s Depository, Broad Sanctuary, Westminster, New York: Thomas Whittaker, 2 & 3 Bible House.",NA,Illustrated by W. S. Stacey,NA,"The Cook and the Captive, or, Attalus the HostageBy Charlotte M.Yonge, author of ‘The Constable’s Tower’ ‘The Slaves of Sabinus’ etc.","Cook and the Captive, or, Attalus the Hostage",
234,"<i>Rubies of St Lô, The</i>",1894,Fiction,Fiction,Fiction,Booklet,London and New York: Macmillan and Company.,Originally published in<i> MP</i> (Christmas 1892),NA,NA,The Rubies of St Lô,Rubies of St Lô,
235,"<i>Story of Easter, The</i>",1894,Non-fiction: theology,Non-fiction: theology,Non-fiction,Book,"Marcus Ward & Co., Chandos St, W.C. London; and Royal Ulster Works, Belfast.",NA,NA,NA,The Story of Easter,Story of Easter,
236,"<i>Carbonels, The</i> By Charlotte M. Yonge, author of “Under the Storm,” “The Cook and the Captive,” etc.",n.d. [September 1895],Fiction (historical),Fiction (historical),Fiction,Book,"London: National Society’s Depository, Broad Sanctuary, Westminster, New York: Thomas Whittaker, 2 & 3 Bible House.",NA,Illustrated by W. S. Stacey.,"This story, and its sequel <i>Founded on Paper</i> are set in rural Hampshire, starting in the early 1820s, at the time CMY’s parents settled in Otterbourne.","The CarbonelsBy Charlotte M. Yonge, author of “Under the Storm,” “The Cook and the Captive,” etc.",Carbonels,
237,"<i>Long Vacation, The</i>",1895,Fiction (modern),Fiction (modern),Fiction,Book,London and New York: Macmillan and Company.,NA,NA,"This includes characters from <i>Scenes and Characters, The Pillars of the House, The Two Sides of the Shield </i>and <i>Beechcroft at Rockstone.</i>",The Long Vacation,Long Vacation,
238,"<i>Wardship of Steepcombe, The</i>",September 1896,Fiction (historical),Fiction (historical),Fiction,Book,"National Society’s Depository, Broad Sanctuary, London.",NA,Illustrated by W. S. Stacey.,NA,The Wardship of Steepcombe,Wardship of Steepcombe,
239,"<i>Release, or, Caroline’s French Kindred, The</i>",September 1896,Fiction (historical),Fiction (historical),Fiction,Book,London and New York: Macmillan and Company.,The first chapter published as ‘Caroline’s Defiance’ in<i> MP</i> Dec 1894,NA,This is a sequel to <i>The Chaplet of Pearls </i>and <i>Stray Pearls.</i>,"The Release, or, Caroline’s French Kindred","Release, or, Caroline’s French Kindred",
240,<i>Cameos from English History: VIII. The End of the Stewarts.</i> By the author of “The Heir of Redclyffe.”,1896,Non-fiction: history,Non-fiction: history,Non-fiction,Book,London and New York: Macmillan and Company.,"Individual cameos appeared in<i> MP</i>, irregularly from 1856 to 1889.",NA,NA,Cameos from English History: VIII. The End of the Stewarts.By the author of “The Heir of Redclyffe.”,Cameos from English History: VIII. The End of the Stewarts.,
241,"<i>Sintram and his Companions and Undine</i> By Friedrich, Baron La Motte Fouqué. With introduction by Charlotte M. Yonge.",1896,Non-fiction: criticism,Non-fiction: criticism,Editorial work and prefaces,Preface to book,"London: Gardner, Darton & Co.",NA,Illustrated by Gordon Browne.,NA,"Sintram and his Companions and UndineBy Friedrich, Baron La Motte Fouqué. With introduction by Charlotte M. Yonge.",Sintram and his Companions and Undine,
242,"<i>Founded on Paper, or, Uphill and Downhill between the Two Jubilees. </i>By Charlotte M. Yonge, author of ‘Under the Storm,’ ‘The Carbonels,’ etc.",October 1897,Fiction (modern),Fiction (modern),Fiction,Book,"National Society’s Depository, Broad Sanctuary, London.",NA,Illustrated by W. S. Stacey.,This is a sequel to <i>The Carbonels.</i>,"Founded on Paper, or, Uphill and Downhill between the Two Jubilees. By Charlotte M. Yonge, author of ‘Under the Storm,’ ‘The Carbonels,’ etc.","Founded on Paper, or, Uphill and Downhill between the Two Jubilees. ",
243,"<i>Pilgrimage of the Ben Beriah: A Novel, The</i>",1897,Fiction (historical),Fiction (historical),Fiction,Book,London and New York: Macmillan and Company.,Originally published in the American children\'s magazine <i>St.Nicholas</i>?,NA,NA,The Pilgrimage of the Ben Beriah: A Novel,Pilgrimage of the Ben Beriah: A Novel,
244,"<i>Women Novelists of Queen Victoria’s Reign : A Book of Appreciations </i>by Mrs. Oliphant <i>et aliae</i> CMY contributed essays on Lady Georgiana Fullerton, Julia Stretton and Anne Manning.",1897,"Non-fiction, biography, criticism","Non-fiction, biography, criticism",Non-fiction,Contributions to collection.,"London: Hurst & Blackett, Limited.",NA,NA,NA,"Women Novelists of Queen Victoria’s Reign : A Book of Appreciations by Mrs. Oliphant et aliae CMY contributed essays on Lady Georgiana Fullerton, Julia Stretton and Anne Manning.",Women Novelists of Queen Victoria’s Reign : A Book of Appreciations ,
245,"<i>History of the Universities’ Mission to Central Africa 1859-1896, The</i>  By A.E.M. Anderson-Morshead.  With a Preface by Charlotte Mary Yonge.",1897,Non-fiction: preface,Non-fiction: preface,Editorial work and prefaces,Preface to book,London: The Universities’ Mission to Central Africa.,NA,with maps,NA,The History of the Universities’ Mission to Central Africa 1859-1896By A.E.M. Anderson-Morshead.  With a Preface by Charlotte Mary Yonge.,History of the Universities’ Mission to Central Africa 1859-1896,
246,"<i>Patriots of Palestine: A Story of the Maccabees, The</i> By Charlotte M. Yonge, author of ‘Under the Storm’ ‘The Slaves of Sabinus’ etc.",October 1898,Fiction (historical),Fiction (historical),Fiction,Book,"London: National Society’s Depository, Broad Sanctuary, Westminster, New York: Thomas Whittaker, 2 & 3 Bible House.",NA,Illustrated by W. S. Stacey.,NA,"The Patriots of Palestine: A Story of the MaccabeesBy Charlotte M. Yonge, author of ‘Under the Storm’ ‘The Slaves of Sabinus’ etc.",Patriots of Palestine: A Story of the Maccabees,
247,"<i>John Keble’s Parishes: A History of Hursley and Otterbourne.</i> By Charlotte M. Yonge, An Old Inhabitant.",1898,"Non-fiction: history, topography","Non-fiction: history, topography",Non-fiction,Book,London and New York: Macmillan and Co.,NA,Illustrated,NA,"John Keble’s Parishes: A History of Hursley and Otterbourne.By Charlotte M. Yonge, An Old Inhabitant.",John Keble’s Parishes: A History of Hursley and Otterbourne.,
248,"<i>Herd-boy and His Hermit, The</i>",October 1899,Fiction (historical),Fiction (historical),Fiction,Book,"London: National Society’s Depository, Broad Sanctuary, Westminster.",NA,NA,NA,The Herd-boy and His Hermit,Herd-boy and His Hermit,
249,<i>Cameos from English History: IX. The Eighteenth Century. </i>By the author of “The Heir of Redclyffe.”,1899,Non-fiction: history,Non-fiction: history,Non-fiction,Book,London and New York: Macmillan and Company.,"Individual cameos appeared in<i> MP</i>, irregularly from 1856 to 1889.",NA,NA,Cameos from English History: IX. The Eighteenth Century. By the author of “The Heir of Redclyffe.”,Cameos from English History: IX. The Eighteenth Century. ,
250,"<i>Making of a Missionary, or, Daydreams in Earnest, The</i> By Charlotte M. Yonge, author of ‘The Herd Boy and his Hermit’ ‘The Patriots of Palestine’ etc.",n.d. [October 1900],Fiction (modern),Fiction (modern),Fiction,Book,"National Society’s Depository, Broad Sanctuary, Westminster, New York: Thomas Whittaker, 2 & 3 Bible House.",NA,Illustrated by W. S. Stacey.,NA,"The Making of a Missionary, or, Daydreams in EarnestBy Charlotte M. Yonge, author of ‘The Herd Boy and his Hermit’ ‘The Patriots of Palestine’ etc.","Making of a Missionary, or, Daydreams in Earnest",
251,"<i>Modern Broods, or, Developments Unlooked For. </i>",1900,Fiction (modern),Fiction (modern),Fiction,Book,London and New York: Macmillan and Company.,NA,NA,"This includes characters from <i>The Castle Builders,</i> <i>The Daisy Chain, The Stokesley Secret, Hopes and Fears, The Pillars of the House, The Two Sides of the Shield, Beechcroft at Rockstone, The Long Vacation </i>and<i> </i>‘Come to her Kingdom’.","Modern Broods, or, Developments Unlooked For. ","Modern Broods, or, Developments Unlooked For. ",
252,<i> Reasons why I am a Catholic and not a Roman Catholic</i>. By the late Charlotte Mary Yonge. With a preface by G. M. Ireland Blackburne.,1901,Non-fiction: theology,Non-fiction: theology,Non-fiction,Pamphlet,"London: Wells Gardner, Darton & Co.","Originally serialized in <i>The Churchwoman</i>, edited by G. M. Ireland Blackburne.",NA,NA, Reasons why I am a Catholic and not a Roman Catholic. By the late Charlotte Mary Yonge. With a preface by G. M. Ireland Blackburne., Reasons why I am a Catholic and not a Roman Catholic,
