"general_bookID","author_surname","author_prefix","author_first_name","author_suffix","title","vols","imprint","date","notes"
"986","Bede","","","","<i>Historia ecclesiastica gentis Anglorum</i>","1","","8th century AD",""
"987","Ewing","","Juliana Horatia","","\'A Bit of Green\'","1","<i>MP</i> (July 1861) 80-92.","1861","Signed J. J. G.. Reprinted in Ewing\'s [[otherbook:330]<i>Melchior\'s Dream and Other Tales</i>] (1862). "
"988","Ewing","","Juliana Horatia","","\'The Blackbird\'s Nest\'","1","<i>MP</i> (August 1861), 188-198.","1861","Signed J. H. G..  Reprinted in Ewing\'s [[otherbook:330]<i>Melchior\'s Dream and Other Tales</i>] (1862)"
"989","Gatty","","Horatia K. F.","","<i>Juliana Horatia Ewing and Her Books</i>","1","London: SPCK","1885",""
"990","Gordon Cumming","","Constance Frederica","","‘The Rabbit Plague in Australasia’ ","1","<i>MP</i> (July 1886), 58-69.","1886",""
"991","Rundle Charles","","Elizabeth","","<i>Three Martyrs of the Nineteenth Century: Studies from the Lives of Livingstone, Gordon, and Patteson</i>","1","London: SPCK","2885",""
"992","Browne","","Harriet","","<i>Memoir of the life and writings of Mrs Hemans</i> By her sister.","1","Edinburgh: Blackwood","1840",""
"993","Molesworth","","Mary Louisa","","\'One Sunday Morning\' ","1","<i>MP</i> (April 1886), 327-37","1886",""
"994"," Lesage ","","Alain-René","","<i>Histoire de Gil Blas de Santillane</i>","4","Paris: Ribou","1715-1735",""
"995","Farrer","","Henrietta","","<i>Life of Robert Gray, Bishop of Cape Town</i> ","2","London: Rivington","1876",""
"996","Bramston","","Mary Eliza?","","‘The Modern Girl’","1"," <i>MP</i>  (February 1886), 191-2","1886","Signed ‘Middleage’, and the work of [[person:198]Mary Eliza Bramston], or less probably, her half-sister Anna Rachel Bramston. "
"997","Wilford","","Florence","","<i>Tender and True</i>","1","London: SPCK","1882",""
"998","Molesworth","","Mary Louisa",""," \'Felix, an outcast\' (from the French of Madame de Pressensé)","1","<i>MP</i> (December 1886), 568-571.","1886",""
"999","Molesworth","","Mary Louisa","","<i>\'Carrots\': Just a Little Boy</i>","1","London: Macmillan","1876",""
"1000","Coleridge","","Christabel Rose","","<i>A Plunge into Troubled Waters, or, Scenes of Modern Parochial Life</i>","1","London: Walter Smith","1888",""
"1001","Martin","Sir","Theodore","","<i>The Life of His Royal Highness the Prince Consort</i>","5","London: Smith, Elder","1874-1880",""
"1002","Greville","","Charles","","<i>A Journal of the Reign of Queen Victoria from 1837-1852</i>","3","London: Longman","1855",""
"1003","Fox","","Caroline",""," <i>Memories of Old Friends</i> ","1","London: Smith, Elder","1882",""
"1004","Craik","","Dinah Maria","","<i>The Fairy Book: The Best Popular Fairy Stories Selected and Rendered Anew</i>","1","London: Macmillan","1863",""
"1005","Latimer","","Elizabeth (Wormeley)","","<i>Familiar talks on some of Shakespeare\'s Comedies</i>","1","Boston: Roberts","1886",""
"1006","Drayton","","Michael","","<i>Poly-Olbion, or, A Chorographicall Description of Tracts, Riuers, Mountaines, Forests, and other parts of this Renowned Isle of Great Britaine</i>","1","London: Lownes","1613","A continuation was published in 1622.

"
"1007","Drayton","","Michael","","<i>The Battaile of Agincourt . . . Nimphidia, the Court of Fayrie . . . </i>","1","London: Lee","1627",""
"1008","Albemarle","","The Earl of","","<i>Fifty Years of My Life</i>","2","London: Macmillan","1876","
<br/>"
"1009","Victoria, Queen of Great Britain","","","","<i>Leaves from the Journal of our Life in the Highlands</i>","2","London: Smith, Elder","1868",""
"1010","Alice Maud Mary, Princess of Great Britain","","","","<i>Alice, Grand Duchess of Hesse, Princess of Great Britain and Ireland: Biographical Sketch and Letters</i> ","1","London: Murray","1884",""
"1011","Bloomfield","","Georgiana, Lady","","<i>Reminiscences of Court and Diplomatic Life</i>","2","London: Trench","1883",""
"1012"," Bunsen","","Frances, Baroness von","","<i>The Life and Letters of Frances, Baroness Bunsen</i>, ed. A.J.C. Hare ","2","London: Daldy","1878","
"
"1013","Irving","","Joseph","","<i>The Annals of our Time: A Diurnal of Events, Social and Political, Home and Foreign, from the Accession of Queen Victoria . . . to the Peace of Versailles</i>  ","1","London: Macmillan","1880","It is presumed CMY refers to this edition, described as \'carefully revised\'.  Supplements to this reference book were also published, however."
