"general_bookID","author_surname","author_prefix","author_first_name","author_suffix","title","vols","imprint","date","notes"
"1",""," "," "," "," ‘Books for the Young’","0"," <i>Christian Remembrancer </i>10  377-407"," (October 1845)",""
"2",""," "," "," "," ‘Castren’s <i>Travels among the Laps</i>’","0"," <i>Quarterly Review </i>94, 196-212"," (December 1853)",""
"3",""," "," "," "," ‘Christmas Books and Christmas Boxes’","0"," <i>Saturday Review </i>4  557-9"," (19 December 1857)",""
"4",""," "," "," "," ‘Periodicals’","0"," <i>The Literary Churchman</i>"," page 344"," (16 Sept 1859)"
"5",""," "," "," "," <i>An Object in Life</i> By the Author of <i>Sunlight in the Clouds</i>","0"," London: "," 1860"," This was serialized in <i>MP</i> from July 1857. When <i>Sunlight in the Clouds was </i>published in <i>MP</i> (1851) it was signed H. L. C., and it seems possible that the works published by ‘the Author of <i>Sunlight in the Clouds’</i> are by Harriet Lucy Cox."
"6",""," "," "," "," <i>Old Danish Ballads, Translated from Grimm’s</i> <i>collection by an Amateur</i>","0"," London: Hope"," 1856",""
"7",""," "," "," "," Review of William Wordsworth, <i>The Prelude</i>","0"," <i>The Christian Remembrancer </i>XX  332-73"," (October 1850)",""
"8",""," "," "," "," <i>Sunlight in the Clouds;  Some Providences in a Life-time;  The Shoemaker’s Daughters</i>","0"," London: Mozley"," 1852"," Another work entitled <i>Sunlight in the Clouds</i> is attributed by the <i>British Library Catalogue</i> to a Mrs Benson, but that seems to be a different book.  When <i>Sunlight in the Clouds was </i>published in <i>MP</i> (1851) it was signed H. L. C., and it seems possible that the works published by ‘the Author of <i>Sunlight in the Clouds’</i> are by Harriet Lucy Cox."
"9",""," "," "," "," <i>The Reign of Terror: A Collection of Authentic Narratives . . written by Eyewitnesses &c. during the years 1817, 1818, 1819, and 1820</i>","2"," London"," 1821-1822",""
"10","Abraham"," The Rev.","Charles John"," ","<i>The Unity of History</i>","0"," Eton: Williams"," 1845",""
"11","Alexander"," "," Cecil Frances"," "," <i>Hymns for Little Children</i>","0"," London: Masters","1848",""
"12","Alexander"," "," Cecil Frances"," "," <i>Moral Songs</i>","0"," London: Masters"," 1848",""
"13","Alexander"," "," Cecil Frances"," "," <i>Verses for Holy Seasons</i>","0"," Manchester: Rivington and Oxford: Parker"," 1846",""
"14","Awdry"," "," Frances"," "," <i>A Country Gentleman of the Nineteenth Century: Being a Short Memoir of the Right Honourable Sir William Heathcote, Bart., of Hursley 1801-1881</i>","0"," Winchester: Warren and London: Simpkin"," 1906","See also [[person:82]Frances Awdry]."
"15","Barbauld"," "," Anna Laetitia"," "," <i>Hymns in Prose for Children</i> ","0"," London: Johnson"," 1781",""
"16","Barber"," "," Mary Ann Serrett"," "," <i>Missionary Tales for Little Listeners</i>","0","  London: Nisbet","  1840",""
"17","Battiscombe"," "," Georgina"," ","<i>Charlotte Mary Yonge: The Story of an Uneventful Life</i>","0"," London: Constable"," 1943",""
"18","Bigg Wither"," "," R. F.","  ","<i>Materials for a History of the Bigg Wither Family</i>","0"," Winchester: Warren"," 1907"," "
"19","Blackburn"," "," Jemima"," and James Wilson"," <i>Illustrations of Scripture</i>. By an Animal Painter, with notes by a Naturalist","0"," Edinburgh: Constable"," 1855"," "
"20","Blakeway"," ","Alys"," ","‘Towards a study of Marianne Dyson’","0","Unpublished paper given to the Charlotte Yonge Society"," April 2002",""
"21","Browning"," "," Elizabeth Barrett"," "," <i>The Poems of Elizabeth Barrett Browning</i>","0"," London: Warne"," 1850",""
"22","Budge"," "," Gavin"," "," ‘Realism and Typology in Charlotte M. Yonge’s <i>The Heir of Redclyffe</i>’","0","<i>Victorian Literature and Culture </i>31, 193-223"," 2003"," "
"23","Budgen"," "," L.M."," "," <i>Episodes of Insect Life</i>","3"," London: Reeve"," 1849-51"," This work appeared under the pseudonym 'Acheta Domestica'."
"24","Bulwer Lytton"," "," Edward"," "," <i>What Will He Do With It?</i>","0"," London: Routledge"," 1852",""
"25","Burke"," Sir"," Bernard"," and Ashworth Burke","<i> A Genealogical and Heraldic Dictionary of the Peerage and Baronetage</i>","0"," London: Harrison"," 1910",""
"26","Butler"," "," Arthur John"," "," <i>Life and Letters of William John Butler, late Dean of Lincoln</i>","0"," London: Macmillan"," 1897",""
"27","Butler"," Father"," Alban"," "," <i>The Lives of the Fathers, Martyrs, and other Principal Saints</i>","4"," London"," 1756-9",""
"28","Butler"," The Rt. Rev."," Joseph"," ","<i>The Analogy of Religion, Natural and Revealed, to the Constitution and Course of Nature</i>","0"," London: Knapton"," 1736",""
"29","Cameron"," ","Lucy Lyttelton"," ","<i>The Faithful Little Girl</i>","0"," Wellington: Houlston"," 1823",""
"30","Carové"," ","Friedrich Wilhelm"," "," <i>Kinderleben oder das Mährchen ohne Ende</i>","0"," "," 1830",""
"31","Carter Smith"," ","Ann Maria"," ","<i>Lucy and Christian Wainwright and Other Tales</i>","0","London: Masters","1863","The title story originally appeared as \'Lucy and Christian Wainwright, or, The One Eternal Meeting, 1781\' in <i>MP</i> (February 1856) 111-38.  The volume also includes ‘Some Thorns and Roses from a Homely Life’, ‘Bygone Days’, ‘A Household Record’, ‘The Two Beauties’, ‘Will No One do Likewise?’ and ‘The Lost are Found’."
"32","Cervantes Saavedra"," "," Miguel"," de","  <i>El ingenioso hidalgo don Quijote de la Mancha</i>","2"," Madrid: Robles"," 1605, 1615",""
"33","Chadwick"," ","Owen"," ","<i>The Spirit of the Oxford Movement</i>","0"," Cambridge: Cambridge University Press"," 1990",""
"34","Church"," The Very Rev."," Richard William"," "," <i>The Oxford Movement: Twelve Years, 1833-1845</i>","0"," London: Macmillan"," 1891",""
"35","Clarendon"," "," Edward Hyde, Earl of"," ","<i>The True Historical Narrative of the Rebellion and Civil Wars in England</i>","3"," Oxford: printed at the Theater"," 1702-4",""
"36","Cobb"," "," Peter G."," "," ‘Sellon, (Priscilla) Lydia (1821–1876)’","0"," <i>Oxford Dictionary of National Biography</i>, Oxford University Press","  2004",""
"37","Cobbold"," ","Richard"," ","<i>The History of Margaret Catchpole: A Suffolk Girl</i>","0"," "," 1845",""
"38","Coleridge"," "," John Duke"," 1st Lord Coleridge"," ‘In Memoriam M.A.D.’","0","<i>Monthly Packet, </i>3rd series 2  521, 523."," (December 1878)","See also [[person:343]John Duke Coleridge], 1st Lord Coleridge."
"39","Coleridge"," "," Mary Frances Keble"," "," <i>Michael the Chorister</i>","0"," London: Mozley"," "," "
"40","Coleridge"," ","Christabel"," "," <i>Charlotte Mary Yonge: Her Life and Letters</i> ","0"," London: Macmillan"," 1903","See also [[person:329]Christabel Coleridge]."
"41","Coleridge"," ","Mary Frances Keble"," ","<i>Sister’s Care </i>By the Author of <i>Michael the Chorister</i>","0"," London, Derby: Mozley"," 1849",""
"42","Coleridge","Sir","John Taylor"," ","<i>A Memoir of the Rev. John Keble</i>","0","Oxford: Parker","1869",""
"43","Colvile"," "," Margaret Agnes"," "," <i>Dorothy: A Tale</i>","0"," London: Parker"," 1856",""
"44","Cooper"," "," Suzanne Fagence"," "," ‘Pollen, John Hungerford (1820–1902)’","0"," <i>Oxford Dictionary of National Biography,</i> Oxford University Press"," 2004",""
"45","Coore"," "," Henry"," "," <i>The Story of Queen Elizabeth Woodville</i>","0"," Halifax: Hartley"," 1845",""
"46","D'Azeglio"," "," Massimo"," "," <i>The Maid of Florence, or, Niccolò de Lapi</i>, tr. W. Felgate","0"," London: Bentley"," 1853"," The novel was first published in Italian in 1841."
"47","D’Israeli"," "," Isaac"," "," <i>Commentaries on the Life and Reign of Charles the First, King of England</i>","5"," London: Colburn"," 1828-31",""
"48","Darling"," "," James"," ","<i>Catalogue of books in the library of Sir William Heathcote, Bart., M.P., at Hursley Park, in the county of Southampton","0"," London: Darling"," 1865"," A revised version of the edition of 1834"
"49","Davies"," "," Edward"," "," <i>Celtic Researches: On the Origin, Traditions & Language, of the Ancient Britons</i>","0"," London: the Author"," 1804",""
"50","De Gruchy"," "," Amy"," "," ‘<i>The Monthly Packet</i>.’","0"," <i>Proceedings of the Inaugural Conference of the Charlotte Mary Yonge Society Fellowship</i>"," 1995"," "
"51","De Gruchy"," "," L. Amy"," "," ‘ “<i>The Monthly Packet</i>” : a study of C.M. Yonge's Editorial Aims and Practice’","0"," University of London MPhil thesis"," 1986",""
"52","De la Rue"," "," Charles"," "," <i>P. Vergili Maronis Opera interpretatione et notis illustravit Carolus Ruaeus ad usum serenissimi Delphini</i>","0"," Paris: Apud Simonem Benard"," 1675",""
"53","Deane"," "," William John"," "," <i>Lyra sanctorum : Lays for the minor festivals of the English Church</i>","0"," London: Masters"," 1850",""
"54","Dennett"," "," John Frederick"," (editor)"," <i>The Voyages and Travels of Captains Parry, Franklin, Ross, and Mr. Belzoni</i>","0"," London: Jaques and Wright"," 1826",""
"55","Dennis"," "," Barbara"," ","<i>Charlotte Yonge (1823-1901) Novelist of the Oxford Movement</i>","0"," Lampeter: Edwin Mellen"," 1992",""
"56","Drury"," "," Anna Harriet"," "," <i>Friends and Fortune: A Moral Tale</i>","0"," London: Pickering"," 1849",""
"57","Dumas"," "," Alexandre"," <i>père</i>"," <i>La Bouillie de la comtesse Berthe</i>","0"," Paris : Hetzel"," 1845"," This work appeared in several English translations; CMY refers to the 1846 Chapman & Hall edition with 100 illustrations done by Albert Bertall for the French edition."
"58","Dyson"," "," Mary Anne ",""," <i>Ivo and Verena, or, The Snowdrop</i>","0"," London: Burns"," 1842",""
"59","Dyson"," "," Mary Anne"," (mother)"," <i>Memorials of a Departed Friend</i>","0"," London: Hansard"," 1833",""
"60","Dyson"," "," Mary Anne"," "," <i>Conversations with Cousin Rachel</i>","0"," London: Burns"," 1844","See also [[person:464]Mary Anne Dyson]."
"61","Evelyn"," "," John"," "," <i>Sylva, or, A Discourse of Forest Trees</i>","0"," London: Martyn and Allestry"," 1664",""
"62","Facciolati"," "," Jacopo"," and Egidio Forcellini"," <i>Totius Latinitatis Lexicon</i>","4"," Padua: Typis Seminarii"," 1771",""
"63","Fairley"," "," Robert "," "," <i>Jemima: Paintings and Memoirs of a Victorian Lady </i>","0"," Edinburgh: Canongate"," 1988",""
"64","Faught"," "," C. B."," "," <i>The Oxford Movement: A Thematic History of the Tractarians and their Times</i> ","0"," University Park, PA: Pennsylvania State University Press"," 2003",""
"65","Forbes"," "," James"," "," <i>Oriental Memoirs</i>","4"," London: Bensley"," 1813",""
"66","Formby"," "," Henry"," ","<i>A Visit to the East Comprising Germany and the Danube, Constantinople, Asia Minor, Egypt and Idumea</i>","0"," London: Burns"," 1840",""
"67","Franklin"," Sir"," John"," "," <i>Narrative of a Journey to the Shores of the Polar Sea</i>","0"," London: Murray"," 1823",""
"68","Fullerton"," Lady"," Georgiana"," "," <i>Ellen Middleton: A Tale</i> ","3"," London: Moxon"," 1844",""
"69","Gaskell"," "," Elizabeth"," "," <i>Mary Barton: A Tale of Manchester Life</i>","2"," London: Chapman & Hall"," 1848",""
"70","Gaskell"," "," Elizabeth"," "," <i>The Life of Charlotte Brontë</i>","2"," London: Smith, Elder"," 1857",""
"71","Goethe"," "," Johann Wolfgang"," von"," <i>Götz von Berlichingen mit der eisernan band: Ein schauspiel</i>","0"," "," 1773",""
"72","Goethe"," "," Johann Wolfgang von",""," <i>Iphigenie auf Tauris</i>","0"," "," 1787"," The play was first published in <i>Goethes Schriften</i> Leipzig: Goschen 1787-90, Vol 3."
"73","Goldsmith"," "," Oliver"," "," <i>The Vicar of Wakefield: A Tale, supposed to be written by himself</i>","0"," Salisbury: Newbery"," 1766"," "
"74","Grant"," "," Anne"," "," <i>Letters from the Mountains: Being the real correspondence of a lady between the years 1773 and 1803</i>","3"," London: Longman"," 1806",""
"75","Green"," "," David Bonnell"," "," ‘Two Popular Novelists of the 'Fifties and Their Publisher: Letters from G. J. Whyte-Melville and Charlotte M. Yonge to John William Parker, Jr.’ ","0"," <i>Notes & Queries </i>10, 450-454"," 1963",""
"76","Greener"," "," William"," "," <i>The Gun, or, A Treatise on the Various Descriptions of Small Fire-arms</i>","0"," London: Longman and Edinburgh: Cadell"," 1835",""
"77","Grossi"," "," Tommaso"," "," <i>Marco Visconti, storia del trecento cavata dalle cronache di quel secolo</i>","4"," Milan"," 1834"," The translation referred to is probably that by Caroline Ward, published as <i>Marco Visconti: A Romance of the Fourteenth Century </i>- 2 vols (London 1836)."
"78","Harriett"," "," Mozley"," "," <i>The Lost Brooch or, The History of Another Month: A Tale for Young People</i>","2"," London: Burns "," 1841"," "
"79","Heber"," The Rt. Rev."," Reginald"," "," <i>Hymns, Written and Adapted to the Weekly Church Service of the Year</i>","0"," London: Murray"," 1827",""
"80","Helps"," Sir"," Arthur"," "," <i>Friends in Council</i>","2"," London: Pickering"," 1847-9",""
"81","Herbert"," The Rev."," George"," ","<i>The Temple: Sacred Poems and Private Ejaculations</i>","0"," Cambridge: Buck and Daniel"," 1633",""
"82","Holt"," "," Geoffrey"," "," ‘Coleridge, Henry James (1822–1893)’<i>Oxford Dictionary of National Biography</i>","0"," Oxford: Oxford University Press"," 2004",""
"83","Hooker"," Sir"," William Jackson"," "," <i>Icones plantarum, or, Figures, with Brief Descriptive Characters and Remarks, of New or Rare Plants, Selected from the Author's Herbarium</i>","10"," London: Longman"," 1837-54",""
"84","Howard"," Lady"," Harriet "," "," <i>The Birthday: A Tale for the Young</i>","0"," London: Burns"," 1844",""
"85","Howitt"," "," William"," and Mary Howitt"," <i>The Literature and Romance of Northern Europe, constituting a complete History of the Literature of Sweden, Denmark, Norway and Iceland</i>","2"," London: Colburn"," 1852",""
"86","Huc"," "," Évariste Régis"," "," <i>Travels in Tartary, Thibet and China, during the years 1844, 5, 6, </i>Tr. William Hazlitt","2"," London: National Illustrated"," 1852",""
"87","Jameson"," ","Anna Brownell"," "," <i>Sacred and Legendary Art</i>","2"," London: Longman","1848","Anna Brownell Jameson, <i>Sacred and Legendary Art</i> 2 vols  (1848), <i>Legends of the Monastic Orders</i> (1850) and <i>Legends of the Madonna</i> (1852) formed a series under the title of the first, with a later volume published in 1864."
"88","Jay"," ","  Elisabeth"," "," ‘Charlotte Mary Yonge and Tractarian Aesthetics’","0"," <i>Victorian Poetry </i>44, 43-59"," 2006",""
"89","Jordan"," "," Ellen"," "," ‘Charlotte Yonge’s First Publishers’","0","Unpublished paper given to a meeting of the Charlotte Mary Yonge Fellowship"," April 2006",""
"90",""," "," "," "," <i>Journal of a Fisherman</i>","0"," London: Routledge"," 1859",""
"91","Kavanagh"," "," Julia"," "," <i>Women of Christianity Exemplary for Acts of Piety and Charity</i>","0"," London: Smith, Elder"," 1852",""
"92","Keble "," The Rev."," John"," and others"," <i>Lyra Apostolica</i>","0"," Derby: Mozley, Rivington"," 1836",""
"93","Keble"," The Rev."," John"," "," ‘Adherence to the Apostolical Succession the Safest Course’","0","<i>Tracts for the Times</i>, no 4"," 1833","See also [[person:798]John Keble]."
"94","Keble"," The Rev."," John"," "," <i>Sermons Occasional and Parochial</i>","0","Oxford: Parker"," 1868",""
"95","Keble"," The Rev."," John"," "," <i>The Christian Year</i>: <i>Thoughts in Verse for the Sundays and Holydays throughout the Year</i>","2"," Oxford: Parker and London: Rivington"," 1827"," "
"96","Keble"," The Rev."," John"," "," <i>The Life of the Right Reverend Father in God, Thomas Wilson, Lord Bishop of Sodor and Man</i>","2"," Oxford: Parker"," 1893",""
"97","Keble"," The Rev."," John"," "," <i>The Psalter, or, Psalms of David in English Verse</i>","0"," Oxford: Parker and Rivington"," 1838",""
"98","Keble"," The Rev."," John"," and the Rev. J. H. Newman, editors"," <i>Remains of the late Reverend Richard Hurrell Froude, M.A.</i>","2"," London and Derby: Rivington"," 1838, 1839",""
"99","Keightley"," ","  Thomas"," ","  <i>The Fairy Mythology: Illustrative of the Romance and Superstition of Various Countries</i>","2"," London: Ainsworth"," 1828",""
"100"," à Kempis"," "," Thomas",""," <i>De Imitatione Christi</i>","0"," "," c. 1420",""
"101","Kent"," "," David"," ","<i>Popular Radicalism and the Swing Riots in Central Hampshire</i>","0","Hampshire Papers 11"," 1997",""
"102","La Motte Fouqué"," "," Friedrich"," Freiherr von"," <i>Die jahreszeiten, eine vierteljahrsschrift fur romantische dichtungen </i>","0"," Berlin: Hitzig"," 1811-14"," The four seasons were each represented by one or two stories. <i>Fru?hlings-Heft. Undine</i>;<i>  Sommer-Heft. Die beiden Hauptleute</i>;<i> Herbst-Heft. Aslauga's Ritter</i>  and<i> Alpin und Jucunde</i>;<i> Winter-Heft. Sintram und seine Gefa?hrten.</i>"
"103","Liddell"," The Very Rev."," Henry"," and the Very Rev. Robert Scott"," <i>A Greek-English Lexicon</i>","0"," Oxford"," 1843"," "
"104","Lindsay"," "," Alexander Crawford, Lord"," later 25th Earl of Crawford"," <i>Sketches of the History of Christian Art</i>","3"," London: Murray"," 1847",""
"105","Lockhart"," "," John Gibson"," "," <i>Memoirs of the Life of Sir Walter Scott, Bart</i>.","7"," Edinburgh: Cadell and London: Murray"," 1837-1838",""
"106","Lodge"," "," Edmund"," "," <i>Portraits of Illustrious Personages of Great Britai</i>","4"," London: Lackington, Hughes, Harding, Mavor, and Lepard : and Longman, Hurst, Rees, Orme, and Brown","  1821-1834",""
"107","Long"," Lady"," Catherine"," "," <i>Sir Roland Ashton: A Tale of the Times</i>","2"," London: Nisbet"," 1844",""
"108","Loudon"," "," Jane"," "," <i>The Ladies’ Flower Garden of Ornamental Perennials</i>","0"," London: Orr"," 1859",""
"109","Loudon"," "," John Claudius"," "," <i>Arboretum et fruticetum brittanicum, or, The Trees and Shrubs of Britain</i>","8"," London: Longman"," 1838",""
"110","MacCulloch"," "," John"," "," <i>Proofs and Illustrations of the attributes of God from the facts and laws of the physical universe: being the foundation of natural and revealed religion</i>","3"," London: Duncan"," 1837",""
"111","Manning"," "," Anne"," "," <i>The Provocations of Madame Palissy</i>","0"," London: Hall, Virtue"," 1853",""
"112","Mant"," The Rev."," Richard "," and George D’Oyly","<i>The Holy Bible, according to the Authorized Version: with notes, explanatory and practical</i>","0"," Oxford: Clarendon Press"," 1817",""
"113","Manzoni"," "," Alessandro"," "," <i>I promessi sposi: storia milanese del secolo XVII</i> ","3"," Milano: Ferrario"," 1825-6",""
"114","Martineau"," "," Harriet"," ","<i> Deerbrook: A Novel</i>","3"," London: Moxon"," 1839"," "
"115","Mason","","  Joseph"," ","<i>Joseph Mason: Assigned Convict 1831-1837 </i>ed. David Kent and Norma Townsend","0"," Melbourne: Melbourne University Press"," 1996",""
"116","Michaud"," "," J.-F. "," "," <i>Histoire des Croisades</i>","7"," Paris: Michaud"," 1812-22",""
"117","Miller"," "," Hugh"," "," <i>The Old Red Sandstone, or, New Walks in an Old Field</i>","0"," Edinburgh: Johnstone"," 1841"," "
"118","Millington"," "," Ellen J."," (tr.)"," <i>Christian iconography, or, the history of Christian art in the Middle Ages</i>","0"," London: Bohn"," 1851",""
"119","Millington"," "," Ellen J."," (tr.)"," <i>The Aesthetic and Miscellaneous Works of Frederick von Schlegel</i>","0"," London: Bohn"," 1849",""
"120","Millington"," "," Ellen J."," "," <i>Characteristics of the Gods of Greece. A Manual for Schoolgirls</i>","0"," Bristol: Chilcott"," 1867","See also [[person:1000]Ellen Millington]."
"121","Millington"," "," Ellen J."," "," <i>Heraldry in History, Poetry, and Romance</i>","0"," London: Chapman and Hall"," 1858",""
"122","Moberly"," "," Charlotte Anne Elizabeth"," ","<i>Dulce Domum: George Moberly, his Family and Friends </i> ","0"," London: John Murray"," 1911",""
"123","Monro"," The Rev."," Edward"," "," <i>The Combatants: An Allegory</i>","0"," London: Masters"," 1848"," "
"124","Moor"," The Rev.","  John Frewen"," "," <i>A Guide to the Village of Hursley, the Home of Keble, author of ‘The Christian Year’</i>","0"," Winchester: Savage"," 1869",""
"125"," Mozley"," "," Anne"," "," <i>Days and Seasons, or, Church Poetry for the Year</i>","0"," Derby: Mozley"," 1845",""
"126","Murray"," "," Lindley"," ","<i> English Grammar, Adapted to the Different Classes of Learners</i>","0"," York: Wilson"," 1795",""
"127","Newland"," The Rev."," Henry Garrett"," "," <i>Forest Life in Norway and Sweden: Being Extracts from the</i>","0"," "," ",""
"128","Newsome"," "," David"," "," <i>The Parting of Friends: A Study of the Wilberforces and Henry Manning</i>","0"," London: Murray"," 1966",""
"129","Opie"," ","Iona"," and Peter Opie","  <i>Oxford Dictionary of Nursery Rhymes</i> ","0"," Oxford: OUP"," 1951",""
"130","Paget","  The Rev."," Francis Edward"," ","<i> Tales of the Village Children</i>","2"," London: Masters"," 1845",""
"131","Palgrave"," Sir"," Francis"," "," <i>Truths and Fictions of the Middle Ages: The Merchant and the Friar</i>","0"," London: Parker"," 1837",""
"132","Percy"," The Rt. Rev."," Thomas"," "," <i>Reliques of Ancient English Poetry</i>","3"," London: Dodsley"," 1765",""
"133","Porter"," Sir"," Robert Ker"," "," <i>Travels in Georgia, Persia, Armenia, ancient Babylonia, &c.</i>","0"," London: Simpkin and Marshall"," 1826",""
"134","Reed","  ","John Shelton"," ","<i>Glorious Battle: The Cultural Politics of Victorian Anglo-Catholicism</i>","0"," Nashville: Vanderbilt University Press"," 1996",""
"135","Reynolds"," Sir"," Joshua"," "," <i> Seven Discourses delivered in the Royal Academy by the President</i>","0"," London: Cadell"," 1778",""
"136","Roberts"," "," Margaret"," "," <i>The Two Mottoes</i>","0"," London, Parker"," 1858",""
"137","Rowell"," The Rt. Rev."," Geoffrey"," "," <i>The Vision Glorious: Themes and Personalities of the Catholic Revival in Anglicanism</i>","0"," Oxford: Oxford University Press"," 1983",""
"138","Ruskin"," "," John"," "," <i>The Seven Lamps of Architecture</i>","0"," London: Smith, Elder"," 1849",""
"139","Sale"," <i>et al. </i> "," George"," "," <i>An Universal History</i> ","7"," London: Batley, Symon, Osborne and Crokatt"," 1736-50",""
"140","Schlegel"," "," Friedrich"," von","<i> Philosophie der Geschichte</i>","2"," Vienna: Schaumberg","1829",""
"141","Scott"," Sir"," Walter"," "," <i>The Lay of the Last Minstrel: A Poem</i>","0"," London and Edinburgh: Longman"," 1805",""
"142","Scott"," Sir"," Walter"," "," <i>Count Robert of Paris</i>","0"," Edinburgh: Cadell"," 1829",""
"143","Scott"," Sir"," Walter"," "," <i>Guy</i> <i>Mannering, or, The Astrologer</i>","3"," Edinburgh: Constable and London: Longman"," 1815",""
"144","Sévigné"," "," Marie"," Marquise de"," <i>Lettres de Marie Rabutin-Chantal, marquise de Sévigné, à madame la comtesse de Grignan sa fille</i> ","0"," Paris"," 1726",""
"145","Sewell"," "," Elizabeth Missing"," "," <i>Amy Herbert</i>","2"," London: Longman"," 1844","See also [[person:1301]Elizabeth Sewell]."
"146","Sewell"," "," Elizabeth Missing"," "," <i>Cleve Hall</i>","2"," London: Longman"," 1855","See also [[person:1301]Elizabeth Sewell]."
"147","Sewell"," ","Elizabeth Missing"," "," <i>Gertrude </i>By the Author of <i>Amy Herbert</i>","2"," London: Longman"," 1845","See also [[person:1301]Elizabeth Sewell]."
"148","Smedley"," "," Menella Bute"," "," <i>The Story of a Family</i>","0"," London: Hoby"," 1851"," The story was published under the initials ‘S.M.’."
"149","Smith"," "," Charles Piazzi"," "," <i>Tenerife, An Astronomer's Experiment, or, Specialities of a Residence Above the Clouds</i>","0"," London: Reeve"," 1858",""
"150","Smith"," Sir"," James Edward"," "," <i>English Botany</i>","8"," London: Davis","  1790-1814",""
"151","Southey"," "," Robert"," ","  <i>Thalaba the Destroyer: A Metrical Romance</i>","0"," London and Bristol: Longman and Rees"," 1801","See also [[person:1722]Robert Southey]."
"152","Southey"," "," Robert"," "," <i>The Pilgrim's Progress with a Life of John Bunyan</i>","0"," London: Murray"," 1830",""
"153","Southey"," "," Robert"," ","<i>The Life and Correspondence of Robert Southey </i>ed. Cuthbert Southey","6"," London: Longman"," 1849-50",""
"154","Souvestre"," "," Émile"," "," <i>Un philosophe sous les toits: journal d’un homme heureux</i>","0"," Paris: Lévy"," 1851",""
"155","Spenser"," "," Edmund"," "," <i>The Faerie Queene</i>","2"," London: Ponsonbie"," 1590"," "
"156","Stanley"," "," Joan C."," ","  'Kissling, Margaret 1808-1891'","0"," <i>Dictionary of New Zealand Biography</i> online at www.dnzb.govt.nz"," 1990",""
"157","Strickland"," ","Agnes"," ","<i>Lives of the Queens of England</i>","12"," London: Colburn"," 1841-8",""
"158","Sturrock"," "," June"," "," ‘Establishing Identity: Editorial Correspondence from the Early Years of <i>The Monthly Packet</i>’","0"," <i>Victorian Periodicals Review </i>39.3  266-279"," 2006",""
"159","Sullivan"," "," Arabella"," "," <i>Tales of the Peerage and the Peasantry</i>","3"," London: Bentley"," 1835",""
"160","Taylor"," "," Ann"," and Jane Taylor"," <i>Original Poems for Infant Minds by Several Young Persons</i>","1"," London: Harvey and Darton"," 1804",""
"161","Taylor"," "," Ann"," and Jane Taylor"," <i>Rhymes for the Nursery</i>","0"," London: Harvey and Darton"," 1806",""
"162","Taylor"," "," Emily"," ","<i> Chronicles of an Old English Oak, or, Sketches of English Life and History</i>","0"," London: Groombridge"," 1860",""
"163","Taylor"," "," Emily"," "," <i>The Boy and the Birds</i>","0"," London: Harvey and Darton"," 1840",""
"164","Taylor"," Sir"," Henry"," "," <i>Philip van Artevelde: A Dramatic Romance, in two parts</i>","0"," London: Moxon"," 1834",""
"165","Taylor"," The Rt. Rev."," Jeremy"," "," <i>The Rules and Exercises of Holy Dying</i>","0"," London: Royston"," 1651",""
"166","Taylor"," The Rt. Rev."," Jeremy"," "," <i>The Rules and Exercises of Holy Living</i>","0"," London: Royston"," 1650",""
"167","Tennyson"," "," Frederick"," "," <i>Days and Hours</i>","0"," London:  Parker"," 1854",""
"168","Thierry"," Augustin "," "," "," <i>Récits des temps mérovingiens: précédés de considerations sur l'histoire de France</i> ","2"," Paris: Just Tessier"," 1840",""
"169","Trollope"," "," Anthony"," "," <i>Barchester Towers</i>","3"," London: Longman"," 1857",""
"170","Trollope"," "," Anthony"," "," <i>The Warden</i>","0"," London: Longman"," 1855",""
"171","Tupper"," "," Martin"," "," <i>Proverbial Philosophy: A Book of Thoughts and Arguments, originally treated</i>","0"," London: Rickerby "," 1838","See also [[person:1801]Martin Tupper]"
"172","Turner"," "," Sharon"," ","<i>The History of England from the Norman Conquest to </i>. . [the reign of] <i>Henry VII</i>","3"," London: Longman"," 1814-23",""
"173","Tytler"," "," Sarah"," pseud. of Henrietta Keddie"," <i>The Nut-Brown Maids, or, The First Hosier and his Hosen: A Family Chronicle of the Days of Queen Elizabeth</i>","0"," London: Parker"," 1859"," "
"174","Vickers"," "," John A."," ","<i>The Religious Census of Hampshire 1851</i>","0"," Hampshire Record Series 12."," 1993",""
"175","Warburton"," "," Eliot"," "," <i>Memoirs of Prince Rupert and the Cavaliers, including their Private Correspondence, Now First Published from the Original Manuscripts</i>","3"," London, Bentley"," 1849",""
"176","Warburton"," "," Eliot"," "," <i>The Crescent and the Cross, or, Romance and Realities of Eastern Travel</i>","2","London: Colburn"," 1845",""
"177","Warburton"," The Rev."," T. A."," "," <i>Rollo and his Race, or, Footsteps of the Norman</i>","2"," London: Bentley"," 1848",""
"178","Whewell"," "," William"," "," <i>Dialogue on the Plurality of Worlds, being a Supplement to the Essay on that subject</i>","0"," London: Parker"," 1854",""
"179","Whewell"," "," William"," "," <i>Of the Plurality of Worlds: An Essay</i>","0"," London: Parker"," 1853",""
"180","Wilbraham"," "," Frances Maria"," "," <i>The Cheshire Pilgrims, or, Sketches of Crusading Life in the Thirteenth Century</i>","0"," London: Morgan"," 1862",""
"181","Williams"," The Rev."," Isaac"," (and others)"," <i>Plain Sermons by Contributors to the ‘Tracts for the Times’</i>","10","London: Rivington"," 1839-48",""
"182","Williams"," The Rev."," Isaac"," "," ‘Reserve in Communicating Religious Knowledge’ <i>Tracts for the Times </i>No 80","0"," "," 1838",""
