persons_id,surname,first_name,prefix,maiden_name,suffix,title,dates,description,biography
1,Webster, Mary Elizabeth, , , , , (b. Worcs. 1839), charity organizer," In the 1891 census she is found at Ripple Lodge, Malvern Link with her younger sister Margaret."
2,Savage, Elizabeth A., , , , , (b. Eling 1836/7), housemaid," In 1891 cook to CMY at Elderfield;  in 1861, 1871 and 1901 working for the ‘Indian Moberlys’."
3,Abraham, Caroline Harriet, , (Palmer), , , (1809/10-1877), missionary to New Zealand," Daughter of Sir Charles Thomas Palmer, 2nd Bt., she married (17 January 1850) the Rt. Rev. Charles John Abraham (1814-1903).  She and Sarah Harriet (Richardson) Selwyn were first cousins. Her sister Mary Anne Palmer was living in 1871 near Mary Anne Dyson at Ewshott in Hants. "
4,Abraham, Charles John, The Rt. Rev., , , , (1814-1903)," 1st Bishop of Wellington, New Zealand, and later Suffragan Bishop of Derby"," He married (1850) Caroline Harriet Palmer (1809/10-1877)[ODNB, WWW]"
5,Acland Troyte,  Frances Lydia Dyke, , , , , (d.1922), daughter of Arthur Acland Troyte," Eldest of the six daughters of Arthur Acland Troyte, sister of Joanna (Acland Troyte) Harper, who was a Gosling as ‘Albatross’, she married (1863) the Rev. Charles Sandford Bere (d. 1889)."
6,Acland Troyte, Arthur Henry Dyke, , , , , (1811-1857), devotional writer," Father of Frances and Joanna Acland Troyte and four other daughters,  brother of Sir Thomas Dyke Acland, 11th Bt. (1809–1898).  He changed his surname to Acland Troyte."
7,Acland, Henry Wentworth,  Sir, , 1st Bt.,  , (1815-1900),  physician, Brother of Arthur Acland Troyte and of Sir Thomas Dyke Acland. [ODNB] 
8,Acland, Sarah Angelina, , , , , (1849-1931),"  photographer, daughter of Sir Henry Wentworth Acland", 
9,Acland, Thomas Dyke, Sir, , 11th Bt., , (1809-1898)," politician and educationist, father of Agnes (Acland) Anson and brother of Arthur Acland Troyte and Sir Henry Wentworth Acland",
10,Adams, , , , , , (fl. 8 March 1854), evidently a humble Devon friend of WCY, 
11,Adams, , Mrs, , ,  ,  (fl. 7 December 1857), probably a parishioner of the Rev. Richard Carter Smith in Woolwich, 
12,Adams, Charles Warren, , , , , (1833-30 July 1903),  animal rights campaigner,"  He married, first (1861), Georgina Alethe Polson (b.1838), daughter of the Rev. Hugh Polson and Georgiana, only child of Charlotte Yonge and her first husband Captain George Crawley, and therefore CMY’s first cousin once removed.  (Mrs Crawley was CMY's aunt and godmother and married secondly the Rev Thomas Jones, Rector of Exeter College Oxford). The Polsons had other children: (Arthur b. 1831/2, George b. 1833/4, Rosalia b.1834/5 and Catharina K. b. 1835/6).  Adams married secondly (24 June 1885), in the teeth of her family, the Hon. Mildred Mary Coleridge (1847-14 January 1929). For his involvement in brawling during a church service at St. George in the East, in defence of the innovations introduced by the vicar, see <i>The Times</i> (11, 14 April 1860). [LG 1952 Woollcombe Adams of Anstey Hall; 1841, 1851, 1861 censuses at www.ancestry.co.uk]"
13,Adams, Georgina Alethe, , (Polson), , , (1838-?1880) ,"first cousin once removed to CMY, first wife of Charles Warren Adams","  <i>The Times</i> (11 January 1862) reported the marriage 'at Cape-town, cape of good Hope, Charles Warren Adams, Esq, son of the late Mr. Serjeant Adams to Georgiana Alethe, youngest daughter of the Rev. Hugh Polson.'  The death of a Georgiana Alethe Adams aged 2 was registered in Fulham in 1880.  According to the <i>Bristol Mercury and Daily Post</i> (24 November 1884) Charles Warren Adams stated in court that he had lived happily with his wife who had died of cancer.  He had always supported his daughter. The refusal of the Bishop of Cape Town to marry them was a mistake, and he had afterwards been reconciled to her family."
14,Adams, Charlotte Alethe Rosalie, , , , , (1862-after 1901), daughter of Charles Warren Adams," Birth registered Westminster 11 August 1862 of Charlotte Alethe Rosalie Adams, daughter of Georgiana Alsthe Adams and Charles Warren Adams.  Charlotte A. R. Adams is boarder in New Shoreham west Sussex in the 1891 census; visiting an old lady in Brighton in 1901."
15,Adams, Mary, , , , , (b. Truro 1831/2), schoolmistress, Mary Adams lived in Otterbourne 1862-71 and ran a small boarding school with her aunt Mary La Beaune (b. Middlesex 1820/1)
16,Adams, Oscar Fay, , , , , (1855-1919)," American journalist and writer, contributor to <i>MP</i>",
17,Adams,Mildred Mary, The Hon.,(Coleridge), , , (1847-14 January 1929),member of the Gosling Society as ‘Ladybird’," The only daughter of John Duke Coleridge, later 1st Lord Coleridge, and Jane Fortescue Seymour (d. 1878), she married (24 June 1885) Charles Warren Adams.  She had a  row with her father about her marriage which was made public because Adams sued her brother Bernard for libel.  She was a  Gosling as Ladybird 1859- <i>c.</i> 1866;   [PB, Coleridge, <i>Story of a Devonshire House</i>; <i>The Times</i> reports of the libel trial 21, 22 November 1884, 5, 25 June 1885.]"
18,Agnew, Andrew, Sir, , 8th Bt., , (1818-1892), landowner," Briefly engaged to the Hon. Jane Colborne in 1845, he later married (20 August 1846) Lady Louisa Noel (d.1883). [PB]"
19,Alcock,Caroline Louise, , , , , (1803/4-1892), contributor to <i>MP</i> (1867), Her address was 39 Green Street Grosvenor Square.  Her paper on \'The Ladies Home\' describes her as its Hon. Secretary.  She is found there living with her younger brother in the 1871 census.
20,Alderson, , Lady, , , , , contributor to <i>MP</i>," Perhaps Mary Anne (Berthon) Alderson, wife of the physician Sir James Alderson (1794-1882), Kt. 1869, and sister of the Rev. Edward Berthon, vicar of Romsey."
21,Alexander, Cecil Frances, , (Humphreys), , , (1818-1895), hymnwriter," An early friend of CMY, she married (15 October 1850) the Rt. Rev. William Alexander (1824-1911), Dean of Emly (1864) Bishop of Derry (1867), later (1896) Archbishop of Armagh."
22,Alford, Charles Richard, The Rt. Rev., , , , (1816-1898)," Bishop of Victoria, Hong Kong (1867-72).",
23,Alford, Henry, The Very Rev., , , , (1810-1871), Dean of Canterbury," He served as Dean of Canterbury from 1857 to his death. He was associated with campaigns against ritualism, which may account for CMY\'s sense that he was not fully sympathetic to her."
24,Allen, Eliza, , , , , , contributor to <i>MP</i> (1888)., 
25,Allen,Phoebe Anne, , , , , (1850-1933), member of the Gosling Society and contributor to <i>MP</i>,"Daughter of the Rev. John Collins Allen, Vicar of Hawley, Hants 1878-86, she was a Gosling as ‘Gridiron’.  Living at Finchcox, Kilndown, Staplehurst (10 July 1870) and Hinton Martel Rectory, Wimborne (December 1876), she was perhaps a governess. She was author of 45 odd novels, stories for SPCK and translations.  She was lame. [Vital Records Index; 1881 census, Will;  <i>Alumni Oxonienses</i>; Who\'s Who in Lit 1906-34; BL cat]"
26,Ampère, Jean-Jacques, , , , , (1800-1864), French historian, Son of the physicist André Marie Ampère (d. 1836).
27,Anderson Morshead,Alethea, ,(Yonge), , , (28 March 1815-22 July 1863), cousin of CMY," The eldest daughter of the Rev. John Yonge of Puslinch and Alethea Henrietta Bargus, she married (1845) John Philip Anderson Morshead of Widey Court, her second cousin, whose paternal grandmother was Elizabeth Yonge of Puslinch.  They had six sons. She and her younger sister Anne were known as ‘great A and little a’, after a nursery rhyme.  [LG 1871 Morshead]"
28,Anderson Morshead, Anne Elizabeth Mary, , , , , (1845/6-1928), missionary and schoolmistress,"Always called Mary, she was the daughter of Pentire Anderson Morshead and Charlotte Story; her paternal grandmother was a Yonge which made her a cousin of CMY.  She joined the Gosling Society as ‘Bog Oak’ and was one of the liveliest contributors to <i>The Barnacle</i>, she left when she went to South Africa to do missionary and social work in 1868; she later wrote a history of the <i>Universities Mission to Central Africa 1859-1896</i> (1897) and  <i>A Pioneer and Founder . . . Robert Gray, first Bishop of Cape Town</i> (1905).  She  also edited <i>Eikon Basilike</i> (1887). For many years, from at least 1881, she was a matron at Marlborough St Giles Industrial School for Girls, Andover. Many of her contributions to <i>MP</i> are signed ‘Bog Oak’.  <i>Jackson’s Oxford Journal</i> (30 May 1891) reports her speaking at a GFS conference as a member of the committee for the Winchester Diocese. She was first cousin to fellow-Goslings Mary Sunderland and Anne Baker.  "
29,Anderson Morshead, Ernest Garstin, , , , , (9 Oct 1851- 1912)," cousin of CMY, surgeon", He qualified MRCS from UCL in 1875. He was fifth son of the Rev. John Philip Anderson Morshead and Alethea Yonge. [LG 1871; Winchester College Register]
30,Anderson Morshead, Frank Upton, , , , , (b.1 Aug 1847 ), cousin of CMY, The second son of the Rev. John Philip Anderson Morshead and Alethea Yonge. [Winchester College Register]
31,Anderson Morshead, Helen Beatrice, ,(Anderson Morshead), , , (1853/4-1922)," cousin of CMY, sister of Mary Anderson Morshead"," Known as Beatrice, a member of the Gosling Society as ‘Queen Bee’, she married (1880)  her cousin John Yonge Anderson Morshead (1846-1923), barrister. They lived at Salcombe. At the time of the 1871 census she was a pupil at Mary Anne Dyson’s school at Crondall. [1861, 71 census]"
32,Anderson Morshead, Henry, , , , , (1848/9-1876), cousin of CMY, Son of Captain Pentyre Anderson Morshead and  brother of Mary Anderson Morshead [1861 census]
33,Anderson Morshead, John Yonge, , , , , (11 June 1846-1923)," cousin of CMY, barrister"," Eldest son of the Rev. John Philip Anderson Morshead and Alethea Yonge, he graduated from University College Oxford in 1869, and qualified as a barrister at the Middle Temple in 1873.  He married (21 April 1880) his cousin Helen Beatrice Anderson Morshead (1853/4-1922). He was interested in local history and has an obituary in <i>Transactions of the Devonshire Association</i> 55,56 (1924)."
34,Anderson Morshead, Julia H., , , , , (b.1850/1), sister of Mary Anderson Morshead, 
35,Anderson Morshead, Leslie, , , , , (b.1851/2)," brother of Mary Anderson Morshead, perhaps retarded or an invalid",
36,Anderson Morshead, Louisa E., , , , , (b. 1846/7), sister of Mary Anderson Morshead, 
37,Stewart, Mildred, , (Anderson Morshead), , , (1855/6-1952), sister of Mary Anderson Morshead,"She married (25 April 1884) Charles William Vanustegen Stewart (b.1859), solicitor, of Plymouth."
38,Anderson Morshead, Pentyre Edmund, , , , , (b.30 July 1882), son of John Yonge Anderson Morshead,
39,Anderson Morshead, Pentyre, , , , , (1857/8-1879), brother of Mary Anderson Morshead," third son of Captain Pentyre Anderson Morshead (1822/3-1869), he matriculated at St. Edmund Hall in 1875. [<i>Alumni Oxonienses</i>]"
40,Anderson Morshead, Pentyre, Captain, , , , (1822/3-1869), father of Mary Anderson Morshead,"  Brother of the Rev. John Philip Anderson Morshead, he was first cousin to WCY and to the Rev. John Yonge of Puslinch.  Described as half-pay captain Royal Artillery in 1861 census, he married (1843) Charlotte Story (1823/4-1888)."
41,Anderson Morshead, Charlotte, , (Story), , , (1823/4-1888), mother of Mary Anderson Morshead, she married Captain Pentyre Anderson Morshead and had a large family.  Her birth date sometimes appears 1820/1.
42,Anderson Morshead, Edmund Doidge, The Rev., , , , (1849-1912)," cousin of CMY, schoolmaster"," Third son of Rev. John Philip Anderson Morshead and Alethea Yonge, he was a brilliant child and educated at Winchester and New College, Oxford 1867-72.  He got a  double first and returned to serve as assistant master at Winchester College 1872-1904.  He married (1 Aug 1878) Mary, fourth sister of William Andrewes Fearon, headmaster of Winchester College 1884-91.  He died of General Paralysis of the Insane after having spent some months in Holloway Sanatorium [Winchester College Register;  Wainewright, <i>Winchester College</i>; ODNB; LG 1871 Morshead; Hants RO MS 67M922W/82/21]"
43,Anderson Morshead, John Philip, The Rev., , , , (<i>c</i>.1809-7 Sept 1881), cousin of CMY," He matriculated from Exeter Coll 1827 and from 1854 was Vicar of Salcombe Regis.  His grandmother was Elizabeth Yonge, sister of the Rev. Duke Yonge, Vicar of Cornwood, so he and his brother Captain Pentyre Anderson Morshead were cousins of the Yonges of Puslinch and of CMY.  He married (1845) his second cousin Alethea Yonge (1815-1863), eldest daughter of the Rev. John Yonge of Puslinch."
44,Andrewes, W. G., The Rev., , , , , Master of St. Cross Hospital from 1868,
45,Anson, Agnes Henrietta, , (Acland), , , (b.1851-), probable member of the Gosling Society," Fourth daughter of  of Sir Thomas Dyke Acland, 11th Bt. (1809–1898), she married (1885) Frederick Henry Anson.  She was probably a Gosling as ‘Acorn’;  her diary in Devon Record Office describes a meeting with CMY. [PB 1914]"
46,Anson, Mornebel, , , , , , contributor to <i>MP</i> (Christmas 1883), 
47,Antrobus, Edward, Sir, , 2nd Bt., , (1792-4 May 1870), landowner," He succeeded his uncle by special remainder, 1826, and was succeeded by his son and namesake (1818-1899)."
48,Apaque, L. H., , , , , ," contributor to <i>MP</i> (1875, 1889)",
49,Apperson, George Latimer, , , , , (b.1857), contributor to <i>MP</i> (1899) and editor of <i>The Antiquary</i>, 
50,Archer Houblon, Maria Georgina, , , , , (b. 1853), member of the Gosling Society," Daughter of the Rev. Thomas Archer Houblon (1808-1874) and Eleanor Deedes (d.1865).  A Gosling as Polypodium, she lived in December 1876 at Peasmore Rectory, Newbury.  Her father had been one of W.J. Butler's curates at Wantage;  her only brother, the Rev.  T. H. Archer Houblon (1849-1933) succeeded him as Vicar of Wantage, 1881-1907, and Maria kept house for him.  She became an Associate of the Wantage sisterhood in 1870.  Of their three sisters Eleanor (d. 1917) became an associate in 1866;  Sophia (1844-1927) became a professed sister of the community in 1878 and Reverend Mother 1912-1920; and Louisa Margaret (d. 1924) became an associate in 1871, professed sister in 1880 and Reverend Mother of the daughter house of the Holy Rood, Worthing.  They were cousins of other Goslings Elisabeth Forbes and Rachel Deedes and were also related to the Bramstons [LG 1952, Lady Anne Archer Houblon, <i>The Houblon Family</i>;  Wantage archives;  WWW;  <i>Journal of Clarissa Trant</i>]"
51,Archer, Fulbert, , , , , (1825-1904)," Second cousin of CMY, a barrister who emigrated to New Zealand"," CMY’s grandfather, the Rev. Duke Yonge, Vicar of Cornwood, had a sister who married into the Archer family, he was her grandson.  He was a brother of the Rev. Samuel Harward Archer and of the Rev. Charles Harward Archer. [LG 1952 Archer of Trelaske] "
52,Archer, Charles Harward, The Rev., , , , (1819-1899), Cousin of CMY," CMY’s grandfather, the Rev. Duke Yonge, Vicar of Cornwood, had a sister who married into the Archer family, so they were relations. He was a brother of [[person:51]Fulbert Archer] and of the Rev. Samuel Harward Archer. [LG 1952 Archer of Trelaske]"
53,Archer, Samuel Harward, The Rev., , , , (b. Jan 1821), Cousin of CMY," CMY’s grandfather, the Rev. Duke Yonge, Vicar of Cornwood, had a sister who married into the Archer family, so they were relations.  He was a brother of Fulbert Archer and the Rev. Charles Harward Archer. [LG 1952 Archer of Trelaske]"
54,Knight ,Henrietta, , , pseud. \'Henley I. Arden\', , , contributor to <i>MP</i> (1898) and other periodicals as \'Henley I. Arden\',"Henrietta Knight was editor, under this pseudonym, of <i>Friendly Leaves</i>,  1890-1899.  She became editor of another GFS periodical, the <i>Girls\' Quarterly</i>, in 1900. Henley in Arden is a town in Warwickshire. [COPAC]"
55,Arden, H. J., , , , , ," contributor to <i>MP</i> (1886),  possibly  the same as H. I. Arden, see Henrietta Knight",
56,Argles, Edith Margaret, , , , , (1853-9 April 1935), social worker," Daughter of the Very Rev. Marsham Argles (1814-1892) and Margaret Julia Davys (1816/7-1898), she was one of the first students at Lady Margaret Hall and later worked for it both as an administrator and in its settlement work.  [LG 1952 Argles of Sibson]"
57,Argles, Margaret Julia, , (Davys), , , (1816/7-1898), lifelong friend of CMY," Known as Julia, daughter of the Rt. Rev. George Davys (1780–1864), Bishop of Peterborough, she married (24 October 1839) the Very Rev. Marsham Argles (1814-1892). Her large family included Edith Argles, Marsham Argles, Alice Rawnsley and Agnes (\'Dolly\') Thicknesse."
58,Argles, Marsham, The Very Rev., , , , (1814-1892)," Rector of Barnack, Northamptonshire, and Dean of Peterborough."," He married (24 October 1839)  (Margaret) Julia Davys (b.1816/7-1898), whom CMY had known from childhood. [LG Argles of Sibson]"
59,Argles, Mary L., , , , , (1845/6-1911), eldest sister of Edith Argles,
60,Armitage, Edward, , , , , (1817-1896), painter, illustrator of CMY’s <i>The Pupils of St. John the Divine</i>.
61,Armitt, Annie, , , , , , contributor to <i>MP</i> (1892),
62,Arnold, James John, , , , , (b. Peckham 1834/5)," of Boyatt, surveyor and engineer"," He married, first, Sarah (Vine) Arnold (Otterbourne 1821/2-1896).  In the 1861 census she is a spinster farmer of 39 with a companion niece Marianna Vine (b.1843/4) and he is her boarder, aged 26.  He married, secondly in Chelsea in the fourth quarter of 1896, Ellen Vine. He was keeping a hotel in Colchester with his wife Ellen (b. Hargham, Norfolk 1853/4) in 1901.  However, since his second wife seems to be the  Ellen (Drane) Vine (b. Hargham, Norfolk 1853/4), widow and milliner, living with her father in London in 1881 and 1891, it looks as if CMY’s suspicions that he had married within the forbidden limits were unfounded.  Marriage with a deceased wife’s niece was illegal in England and Wales until the passing of the Marriage (Prohibited Degrees) Relationship Act (1931)."
63,Arnold, F., , , , , , contributor to <i>MP</i> (1890),
64,Arnold, Thomas, Dr., , , , (1795-1842), headmaster of Rugby School, A lifelong friend of Keble and Sir John Taylor Coleridge.
65,Arthur, Mary, , , , , , missionary," Mentioned, as a missionary who came to South Africa in 1861-2 and looked after orphans, by A.E.M. Anderson Morshead, <i>A Pioneer and Founder: Reminiscences of Some who Knew Robert Gray D D, First Bishop of Cape Town</i> (London: Skeffington 1905), and presumably the Miss Arthur referred to by CMY (6 Dec 1866).  See \'The Ladies\' Association, or, Great Causes Helped by Small Means\' <i>MP</i> (May 1867) 510:  \'Little native girls may also be maintained in such boarding-schools as the Missions possess.  Such may be found at Miss Arthur\'s, at the Cape, where the cost is £6 per annum\'.

See the website of the institution today at http://www.st-georges.org.za/about.html"
66,Ash, Mary, , , , , , contributor to <i>MP</i> (1890), 
67,Ashington, , Miss, , , , (fl. 30 September 1844)," mentioned (30 Sept 1844) as a reader of <i>Abbeychurch</i>, unknown to CMY",
68,Ashwell, Arthur Rawson, The Rev. Canon, , , , (1824-23 October 1879), contributor to <i>MP</i> (1867-77) and to the <i>Monthly Paper of Sunday Teaching</i>,"  He married (1854) Elizabeth Fixsen (b. 1822/3). He served from 1870 as principal of Chichester Theological College,  from 1864-76 he was editor of the <i>Literary Churchman</i> and from 1876 of the <i>Church Quarterly Review</i>."
69,Asís de Borbón,Francisco, Don,de, , Duke of Cadiz,(1822-1902),King of Spain, He married (1846) his double first cousin Queen Isabella II.
70,Atkinson, Blanche, , , , , ,  contributor to <i>MP</i> (1893), 
71,Atkinson,Frances Hester, ,(Carter Smith), , ,(1827-1908),sister of Ann Carter Smith and contributor to <i>MP</i>,"She contributed to <i>MP</i> (1855-7) five papers on ‘Traditions of Norway’, with which she had probably become acquainted while the family lived there. Daughter of the Rev. Richard Carter Smith and sister of Ann Carter Smith,  she was christened St. Olave, Hart Street, London, 13 September 1827, and married (1856), on his being appointed Master of Clare College, the Rev. Dr. Edward Atkinson (1819-1915), and died childless.  He was the longest-serving ever head of a Cambridge College.  In his obituary in  <i>The Times</i>  (3 March 1915) 13d, she is described as a niece of a former fellow and tutor of the college (i.e. William Williamson)."
72,Atkinson, J.C., , , , , , contributor to <i>MP</i> (1867-8), 
73,Atkinson, Thomas, The Rt. Rev., , , , (1807-1881), episcopal Bishop of North Carolina 1853-81, He preached at Babbacombe in 1867.
74,Attard, , Miss, , , , (fl.28 Oct 1844), a friend of Anne Yonge's or their governess?, 
75,Attwood, , Mrs, , , , (fl. 9 March 1859), domestic servant, 
76,Austen, Jane, , , , , (1775-1817), novelist, 
77,Austen Leigh, Charles Edward, , , , ,  (1832-1924), son of the Rev. James Edward Austen Leigh, 
78,Austen Leigh, James Edward, The Rev., , , , (1794-1874), nephew and biographer of Jane Austen,
79,Awdry, Bridget Hildred Vere, , , , , (7 Nov 1892-23 February 1900), daughter of the Rev. Vere Awdry,
80,Awdry, Charles, , , , , (1847-1912)," partner in W.H. Smith and Son, newsagents"," Son of Sir John Wither Awdry (1795-1878), chief justice of Bombay, brother of Frances Awdry,  the Rt. Rev. William Awdry and the Rev. Vere Awdry,he married (1876) CMY’s goddaughter Margaret Helen Moberly. Sir John Awdry’s mother Jane Bigg was the sister of Sir William Heathcote’s mother Elizabeth (Bigg) Heathcote, and he was therefore cousin to Sir William and to the Rev. William Bigg Wither."
81,Awdry, Frances Emily, , (Moberly), , , (30 May 1844-24 November 1921), author of elementary science textbooks,"  She was a member of the Gosling Society as ‘Humble Bee’ approximately 1859-1868. Always known as Emily, she was goddaughter to CMY\'s mother FMY.  Daughter of the Rt. Rev. George Moberly, she married (4 August 1868) the Rt. Rev. William Awdry (1842-1910). While he was a schoolmaster at Winchester, they both promoted the extension lectures."
82,Awdry, Frances, , , , ,  (1845-19 March 1927), contributor to <i>MP</i>,"The  author of biographies of Patteson, William Heathcote and Anne Mackenzie, she is  not to be confused with her sister-in-law, (Frances) Emily (Moberly) Awdry. The daughter of Sir John Wither Awdry (1795-1878), chief justice of Bombay, sister of the Rt. Rev. William Awdry, Charles Awdry and the Rev. Vere Awdry, she lived with her mother at Notton. Sir John Awdry’s mother Jane Bigg was the sister of Sir William Heathcote’s mother Elizabeth (Bigg) Heathcote, and he was therefore cousin to Sir William and to the Rev. William Bigg Wither. Two of Frances Awdry\'s brothers married daughters of the Rt. Rev. Dr George Moberly.  

Photographs of the family appear at http://www.family-forest.co.uk/familytree/albums/awdry/awdry-photo.shtml"
83,Awdry,Margaret Helen, ,(Moberly), , ,(May 1852-12 June 1939),goddaughter of CMY,"Youngest daughter of the Rt Rev George Moberly, she married (20 April 1876) Charles Awdry (1847-1912), whose brother William had earlier married her sister Emily."
84,Awdry, Vere, The Rev., , , , (14 October 1854-12 July 1928), Vicar of Ampfield," He succeeded John Frewen Moor as Vicar of Ampfield.  He married first (3 August 1887), Emily Man, secondly (27 October 1891), Mary Louisa Man, and thirdly (14 July 1909) Lucy Louisa Bury.  He was father by his third marriage of the Rev. Wilbert Vere Awdry (1911-1997), the author of <i>Thomas the Tank Engine</i> (1946). Son of Sir John Wither Awdry (1795-1878), chief justice of Bombay, he was brother of Frances Awdry,  the Rt. Rev. William Awdry and Charles Awdry. Sir John Awdry’s mother Jane Bigg was the sister of Sir William Heathcote’s mother Elizabeth (Bigg) Heathcote, and he was therefore cousin to Sir William and to the Rev. William Bigg Wither."
85,Awdry,William, The Rt.Rev., , , , (14 Jan 1842-4 Jan 1910)," Vicar of Amport, later Bishop of Osaka"," Successively Vicar of Amport, suffragan bishop of Southampton (1895),  Bishop of Osaka (1896-8) and South Tokyo (1898-1908), he married (4 August 1868) (Frances) Emily Moberly. Son of Sir John Wither Awdry (1795-1878), chief justice of Bombay, he was brother of Frances Awdry,  Charles Awdry and the Rev. Vere Awdry. His brother Charles Awdry married Margaret Helen Moberly. Sir John Awdry’s mother Jane Bigg was the sister of Sir William Heathcote’s mother Elizabeth (Bigg) Heathcote, and he was therefore cousin to Sir William and to the Rev. William Bigg Wither.  [WWW]"
86,Backhurst, Fanny, , , , , (fl.15 March 1852), a pupil of CMY at Otterbourne school,"  She married a soldier and just died three weeks after the birth of her baby.  She was probably daughter of James Backhurst (b. 1800/1), carpenter, of Otterbourne."
87,Backhurst, , Mrs, , , , (fl.15 March 1852),  mother of Fanny Backhurst,
88,Bacon, Mary, , , , , (b. 1804/5), companion of Maria Cristall (Florence Wilford\'s aunt) at St. Cross,
89,Bacon, , Mrs, , , , , probably a neighbour," CMY refused a garden party invitation from, n. d."
90,Badnell, Hopkins, The Ven., , , , (fl.1864)," Archdeacon of George, then of the Cape, later Bishop of Capetown", CMY sent her books to him.
91,Baillie, Joanna, , , , , (1762-1851), contributor to <i>MP</i> (1852) playwright,
92,Baird, E. J. C., , , , , ,"  contributor to <i>MP</i> (1887, 1889)",
93,Baker Wilbraham,Katharine Frances, ,"(Wilbraham), Lady",, ,(1849/51-1945), daughter of General Sir Richard Wilbraham," She married (4 April 1872) George Barrington Baker (1845–1912), who succeeded his father as 5th Bt. in 1912."
94,Baker,Amy Susan,  ,"(Marryat), Lady",, , , writer,"  She married the Rev. Sir Talbot Baker, 3rd Bt. (1820-1900) and is mentioned as an author, 1888."
95,Baker, Agnes, , , , , (b.1863/4), teacher," This person teaching Joanna Yonge is probably to be identified as Agnes Baker (b.1863/4), daughter of the Rev. James Baker of Clifton Lodge, Winchester, who is described, like her sister Emily (b. 1858/9) in the 1891 census as a Teacher of Music."
96,Baker, James, The Rev., , , , , father of Agnes Baker," The Rev. James Baker of Clifton Lodge, Winchester, seems the most plausible Mr Baker."
97,Baker, Annie or Anne, , , , , (b. 1840/1), member of the Gosling Society," Described as a new Gosling as ‘Sparrowhawk’ in September 1867, she was living at Upper East Hayes, Bath, and was daughter of Major Thomas Richard Baker (1802-1884) J.P., 7th Fusiliers Rtd. and Mary Frances Anderson Morshead (d. 1843).  She was first cousin to fellow Goslings [[person:28]Mary] and Beatrice Anderson Morshead, and was related to CMY through her great-grandmother. [LG 1906 Baker of Bayfordbury, 1871 census]"
98,Baldwin, James, , , , ," (b. Tanworth, Warwicks. 1824/5)", maltster," He is recorded in the 1881 and 1891 censuses as a maltster living at Compton with his wife Josephine (b. Solihull 1826/7), in the former year ‘employing 2 men & 2 boys’. "
99,Baldwin, Josephine, , , , , (b. Warwicks. 1826/7), wife of James Baldwin,
100,Ballard,  S., , , , , , contributor to <i>MP</i> (1898),
101,Ballard, , Mrs, , , , , listed as a contributor to the <i>Hursley Magazine</i> in 1848,
102,Bardsley, Charles Wareing Endell, The Rev., , , , (1843-1898), Vicar of Ulverston, He was the author of the first standard work on English surnames and contributor to the Bluebell series [BL cat; <i>Alumni Oxonienses</i>]
103,Bargus, Mary, , (Kingsman), , , (1759?-1843), maternal grandmother of CMY,"Coleridge states, <i>[[otherbook:40]Life]</i>, 154 that CMY\'s grandmother died in 1848.  However, it seems more probable that she died in 1843, when the death was registered in Winchester of a person of that name. She was daughter of the Rev. Thomas Kingsman (1717-1779), Vicar of Botley, and married (1792), as his second wife, the Rev. Thomas Bargus.  \'I think she was 89\' when she died, wrote CMY.  The IGI records the christening of a Mary Kingsman at Botley in 1751, which would make her about 92 in 1843, and 44 at the time of FMY\'s birth in 1795. Her father\'s death is recorded in the <i>Town and Country Magazine</i> (1780), 55."
104,Barfoot, John, , , , , ( ), carpenter in Otterbourne,
105,Barfoot, Sarah, , , , , (b. 1806/7 or 1810/1)," wife of John Barfoot, carpenter",  Her age is given differently in the 1851 and 1841 censuses. 
106,Bargus, Thomas, The Rev., , , , (d. 29 March 1809)," Vicar of Barkway, maternal grandfather of CMY"," He married first (1787), a widow with two children, Cordelia (Garstin) Colborne (d.15 March 1791) and secondly (1792) Mary Kingsman. [LG 1870 Garstin of Leragh Castle]"
107,Barker, ,Miss, , , ,(fl.1846), ,The context of these references suggests a Puslinch neighbour.
108,Barlee, Ellen, , , , , (b. 1825/6), social worker," Third of the five daughters of the Rev. Edward Barlee, Rector of Worlingworth, Suffolk, she was Lady superintendent of the Institution for the Employment of Needlewomen, Hinde St, founded 1860, as well as a contributor to the <i>Athenaeum</i>, the <i>Englishwoman's Journal</i> and <i>MP</i> (1866), referred to 3 April 1863. [1851, 1861 census]"
109,Bowles, Caroline, , (Barlow), , , (d. 1896), mother of the Rev. Henry Bowles," Daughter of Robert Barlow of Holybourne, she was wife of the Rev. Henry Albany Bowles, sr.."
110,Barlow,Jane,  , , , , , contributor to <i>MP</i> (1894-5),
111,Barnard, Charlotte Alington, , (Pye), , , (1830-1869)," composer and poet under the name 'Claribel', contributor to <i>MP</i> (1869)",
112,Barnes, William, , , , , (fl. 15 March 1852), perhaps a neighbour of the Puslinch Yonges.  ,He may possibly also be the Barnes referred to by FMY in 1854 as acting on behalf of WCY in Devon.
113,Barnett, Elizabeth, , , , , (28 Nov 1810-15 April 1900), sister-in-law of the Very Rev. William John Butler,"  Second cousin of the Very Rev. William Butler, who was married to her younger sister Emma Barnett, she supported his good works at Wantage.  She lived with her father George Henry Barnett (d. 1871) and younger sister Louisa at Glympton and in Wilton Crescent. [H. Barnett, <i>Glympton</i>;  LG 1952 Barnett formerly of Glympton]  "
