persons_id,surname,first_name,prefix,maiden_name,suffix,title,dates,description,biography
2157,Crauford,Isolda Caroline,,Vereker,,,(1852/3-1927),,
2158,Arnold,Ellen,,Drane,,,(b.1853/4),second wife of James John Arnold,
2159,Lathbury,Daniel Conner,,,,,(1831-1922),editor of the <i>Guardian</i> 1883-1899,
2160,Lewes,George Henry,,,,,1817-1878,journalist and biographer,
2161,"Waldegrave,",William,,,,Viscount Chewton,(1816-1854),"army officer, eldest son of the 8th Earl Waldegrave and brother-in-law of the 1st Earl of Selborne",
2162,Gardiner,Rosa,,,,,,domestic servant,It is not possible to identify with any certainty which of the possible Rosa Gardiners is the one CMY employed.
2163,Wills,Jane,,,,,,an inhabitant of Yealmpton?,
2164,Collins,Frances,,,,,(b. Otterbourne 1876),schoolmistress,She was the daughter of [[person:357]George] and Emma Collins.  Her mother was the postmistress in Otterbourne in 1891.  She had a number of much older half-brothers and half-sisters to whom CMY frequently refers.
2165,Wathen,Mrs,,,,,,of Bournemouth,
2166,Walker,Alice Fielden,,(Ramsbotham),,,(1850/1-1939),"wife of Colonel John Bridges Walker, colonel commandant of the Gordon Boys\' Home, Woking",She married John Walker in 1874.  His obituary is in <i>The Times</i> (22 October 1925).
2167,Capes,Mr,,,,,,Roman Catholic neighbour,
2168,Collins,Emma,,,,,,"postmistress of Otterbourne, second wife of George Collins and mother of [[person:2164]Frances Collins]",
2169,Palmer,Jessie Mary Ann,,,,,(Essex 1855-1929),ladies\' maid to Gertrude Walter in 1891,"[census returns; birth and death registers]

Dr Chris Palmer, the Curator of Havant Museum, possesses some of CMY\'s novels inscribed to Jessie Palmer."
2170,Logan,Daniel,,,,,(b.Londonderry 1854/5),bailiff to the Heathcote family in 1891 and 1901,"In the 1891 census Selina, Lady Heathcote, and her daughters were living at Bartley, Eling, in the New Forest, and Daniel Logan was their bailiff and gardener.  He may have also collected some rents or other fees for them in Hursley and Otterbourne."
2171,Dennis,Mr,,,,,,organizing the beacon fire in 1897,
2172,Gunner,Maria Susan,,(Hale),,,(1832-1897),,"The <i>Morning Post</i> (21 June 1897) recorded the deaths of Maria Susan Gunner, 67, widow of Thomas Gunner, Recorder of Southampton, and her mother Caroline Hale, 91, widow of Edward Hale of Hambledon House, and daughter of Admiral Hugh Downman."
2173,Hale,Caroline,,(Downman),,,(1806-1897),,"The <i>Morning Post</i> (21 June 1897) recorded the deaths of Maria Susan Gunner, 67, widow of Thomas Gunner, Recorder of Southampton, and her mother Caroline Hale, 91, widow of Edward Hale of Hambledon House, and daughter of Admiral Hugh Downman."
2174,Compton,Mr,,,,,,ill in 1897,
2175,Simeon,Geoffrey Barrington,The Rev.,,,,(1848-1906),third son of Captain [[person:1322]Charles Simeon],
2176,Comely,John,,,,,(b.Otterbourne 1783-after 1861),perhaps CMY\'s \'old Mr Comely\',A small farmer.
2177,Warner,Edith Emma,,(Morris),,,(b. Dover 1864),"wife of the Rev. Henry James Warner, Vicar of Yealmpton",
2178,Yonge,Isabella Sydney,,(Bowen),,,(b.Ireland 1860/1-1954),wife of CMY\'s cousin Duke Mohun Yonge,"She married Duke Yonge, who was 9 years her junior, in 1890."
2179,Yonge,Charles Francis Lysaght,The Rev.,,,,(1858-1933),"cousin of CMY, Rector of Shottisham, Suffolk","At the time of the 1901 census he was living with his mother, his sisters Elizabeth and Margaret, and his aunt Anne, the 90-year-old widow of the writer Charles Duke Yonge."
2180,Davies,Lucy Sarah,,(Yonge),,,(1854/5-1905),"cousin of CMY, daughter of the Rev. John Eyre Yonge, sister of [[person:1588]Charlotte Fortescue Yonge], wife of the Rev. John Paget Davies, Rector of Twineham",
2183,Yonge,Stephen Duke,,,,,(Coblentz 1844/5-1912),third son of CMY\'s cousin Dr. [[person:1622]John Francis Duke Yonge],"Stephen Yonge had emigrated to Melbourne, Australia, by 1864.
The <i>Gentleman\'s Magazine</i> (1866), 399 records the marriage (18 July 1866) \'At the Roman Catholic Cathdral, Plymouth, Stephen Duke Yonge, esq., of Plymstock, to Madeline Bartlet, fourth daughter of the late Lieut.-Col.George Smith, Bombay Native Infantry, of The Lodge, Plymton.\'
However he does not appear in the 1871 or later English censuses, and in 1897 CMY evidently thought he was in California.
According to the Probate Records the will was proved in 1873  of \'Madeline Bartlett Yonge (Wife of Stephen Duke Yonge) formerly of Ladye Park near Liskeard in the County of Cornwall but late of Lower Lake, Lake County California . .  who died 19 November 1872 at Lower Lake\'.
According to data assembled by family genealogists at http://www.ilind.net/ancestry/jfdyDesc/p1.htm#i754, Stephen Yonge seems to have had two children."
2184,Wickham,Gordon Bolles,The Rev.,,,,(1850-1920),"Vicar of Crookham cum Ewshott, and later of Bradford Abbas"," The son of the Rev. Frederic Wickham, second master of Winchester College, and Emily Eliza Gordon, he was appointed Vicar of Crookham, the parish where Mary Anne Dyson lived, in June 1875. He married (1887) Sidney Katherine Kerr. "
2185,Wickham,Sidney Katherine,,(Kerr),,,(1848/9-1928),"wife of the Rev. Gordon Bolles Wickham, daughter of Admiral Lord Frederic Kerr",
2188,Crawley-Boevey,"Mary Albinia, Lady",,(Page),,,(d.1835),"mother of [[person:557]Blanche Gibbs], wife of Sir Thomas Crawley Boevey, 3rd Bt.",
2189,Mullins,John,,,,,(1838-1894),well-known water-diviner,
2190,Ray,Caroline,,,,,(b. Bishopstoke 1852/3),sister of [[person:2111]Charles Ray],"She was keeping the Otterbourne shop at the time of the 1901 census, and living with her father, also Charles Ray, 73."
2192,Reynolds,Annie,,,,,,an invalid?,Probably a candidate for admission to an infirmary or home of some kind.
2193,Salmon,Henry William,,,,,(1859-1940),"photographer, of 77 High Street, Winchester",The City of Winchester Trust holds many Salmon photographs in its archive.
2194,Oakley,,,,,,,photographer in Eastleigh,
2195,Frith,Francis,,,,,(1822-1898),photographer,
2196,Bacon,John,,,,,(1777-1859),sculptor,
2197,Haigh,Henry,The Ven. Canon,,,,(1837/8-1906),Vicar of Newport and Archdeacon of the Isle of Wight,
2198,Greville,Frances Evelyn,,(Maynard),,Countess of Warwick,(1861-1938),,
2199,Lawrence,Miss,,,,,,"schoolmate of FMY, grandmother of [[person:2234]Maria Edith Walker]",
2200,Layton,Monica Yonge,,,,,(1899-1984),"cousin of CMY, daughter of [[person:851]Dorothea (Yonge) Layton]",
2201,Horsley,John William,The Rev.,,,,(1845-1921),secretary of the Waifs and Strays Society,
2202,Baden-Powell,Robert Stephenson Smyth,,,,1st Lord Baden-Powel,(1857-1941),founder of the Scout Movement,
2203,Plumer,Herbert Charles Onslow,,,,1st Viscount Plumer, (1857–1932),army officer,
2204,Gatacre,William Forbes,General Sir,,,,(1843-1906),army officer,
2205,Dennis,Mrs ,,,,,,"helping at the Mothers\' Meeting in 1899, perhaps the wife of [[person:2171]Mr Dennis]",
2206,Mulready,William,,,,,(1786-1863),painter,
2207,Bonaparte,Napoleon,,,,,(1769-1821),Emperor of France,
2208,Mackintosh,James,Sir,,,,(1765-1832),historian,
2209,Stanford,Miss,,,,,,official of the GFS,
2210,Carey,Miss,,,,,,official of the GFS,
2211,Arnold,Edward Augustus,,,,,(1857-1942),publisher,
2212,Tryen,Mrs,,,,,,"employer of a member of the Girls\' Friendly Society, probably a neighbour of CMY\'s",
2213,Cronjé,Pieter Arnoldus,,,,,(1836-1911),Boer general,
2214,Awdry,Mary Louisa,,(Man),,,(d.1908),second wife of the Rev. [[person:84]Vere Awdry],
2215,Lowth,Alfred Charles,The Rev.,,,,(1857-1926),incumbent of Colden Common,
2216,Yonge,Grace,,,,,(b.1900),"cousin of CMY, daughter of the Rev. [[person:1656]Charles Burell Yonge]",
2217,Lyttelton,Arthur Temple,The Rt. Rev. and Hon,,,,(1852-1903),suffragan Bishop of Southampton from 1898,
2218,Scarlett,Arabella Lucy,,(Walsh),,,(b.1857),wife of Major[[person:1285] Robert Scarlett] of Otterbourne House,
2219,Nelson,Frances Elizabeth,,(Eyre),,Countess Nelson,(d.1878),"friend of FMY, mother of [[person:164]Susan Blunt]","Daughter of John Maurice Eyre of Brickworth, she married (1821) the second Earl Nelson of Trafalgar (d.1835).  Her husband was the son of Thomas Bolton and Susannah Nelson, sister of the naval hero.  He changed his surname to Nelson on inheriting the title by special remainder from another uncle shortly before his death."
2220,Sewell,Mrs,,,,,,calling in 1900,
2221,Brook,Mrs,,,,,,friend of Christabel Coleridge,
2222,,Helena Augusta Victoria,Princess,,,Princess Christian o,(1846-1923),third daughter of Queen Victoria ,
2223,Buller,Audrey Jane Charlotte,Lady,(Townshend),,,(d.1926),"wife of General Sir Redvers Buller (1839-1908), commander in chief during the Boer War.",
2226,Bowles,Edward,,,,,,brother of the Rev. [[person:184]Henry Bowles],
2227,Lias,John James,The Rev. Canon,,,,(1824-1923),Chancellor of Llandaff Cathedral ,His obituary is in <i>The Times</i> (19 March 1923).
2228,Bayly,Ada Ellen,,,,,(1857-1903),novelist under the pen name \'Edna Lyall\',
2229,Bradlaugh,Charles,,,,,(1833-1891),freethinker and politician,
2230,Crowfoot,John Henchman,The Rev. Canon,,,,(1841-1926),Chancellor of Lincoln Cathedral and Principal of Lincoln Theological College,WWW
2231,Pond,Edith,,,,,(b.1874/5),"sister of [[person:1648]Bessie Pond], housemaid","She is found working for Maurice Yonge in the 1901 census just after CMY\'s death.  She and her sister were daughters of Francis Pond, cabinet-maker, of Wantage."
2232,Baden-Powell,Olave St. Clair,,(Soames),,,(1889-1977),wife of [[person:2202]Lord Baden-Powell],
